sezione;col1;col2;col3;col4;col5;col6;col7
Nord;84.878.819;10.076.652;94.955.471;15.364.426;715.670;16.080.096;111.035.567
Centro;17.932.844;3.217.967;21.150.811;6.258.449;76.380;6.334.829;27.485.640
Sud;27.379.352;4.337.170;31.716.522;7.537.744;293.169;7.830.913;39.547.435
Italia;130.191.015;17.631.789;147.822.804;29.160.619;1.085.219;30.245.838;178.068.642
Operazioni di recupero dei rifiuti pericolosi e non pericolosi - 2021 (ISPRA);;;;;;;
Area geografica;R1 (t);R2 (t);R3 (t);R4 (t);R5 (t);R6 (t);R7 (t)
Nord;1.406.008;240.493;9.673.684;18.703.210;44.740.139;83.736;35.677
Centro;248.544;6.355;1.462.701;1.850.861;11.626.311;2.519;12
Sud;197.503;5.077;1.859.334;3.321.099;17.362.696;80;14.255
Italia;1.852.055;251.925;12.995.719;23.875.170;73.729.146;86.335;49.944
Operazioni di smaltimento dei rifiuti pericolosi e non pericolosi - 2021 (ISPRA);;;;;;;
Area geografica;D1 (t);D2 (t);D3 (t);D4 (t);D8 (t);D9 (t);D10 (t)
Nord;5.168.448;0;0;0;3.495.340;4.644.238;901.109
Centro;2.717.049;0;0;0;1.167.583;2.030.285;29.097
Sud;2.296.136;0;0;0;2.148.512;2.767.685;173.239
Italia;10.181.633;0;0;0;6.811.435;9.442.208;1.103.445
Operazioni di recupero dei rifiuti non pericolosi - 2021 (ISPRA);;;;;;;
Area geografica;R1 (t);R2 (t);R3 (t);R4 (t);R5 (t);R6 (t);R7 (t)
Nord;1.314.811;3.678;9.526.001;18.019.851;44.515.470;2.699;22.359
Centro;248.544;0;1.415.120;1.663.830;11.577.968;180;12
Sud;167.656;8;1.781.362;2.656.086;17.324.179;0;8.161
Italia;1.731.011;3.686;12.722.483;22.339.767;73.417.617;2.879;30.532
Operazioni di recupero dei rifiuti pericolosi - 2021 (ISPRA);;;;;;;
Area geografica;R1 (t);R2 (t);R3 (t);R4 (t);R5 (t);R6 (t);R7 (t)
Nord;91.197;236.815;147.683;683.359;224.669;81.037;13.318
Centro;0;6.355;47.581;187.031;48.343;2.339;0
Sud;29.847;5.069;77.972;665.013;38.517;80;6.094
Italia;121.044;248.239;273.236;1.535.403;311.529;83.456;19.412
Operazioni di smaltimento dei rifiuti non pericolosi - 2021 (ISPRA);;;;;;;
Area geografica;D1 (t);D2 (t);D3 (t);D4 (t);D8 (t);D9 (t);D10 (t)
Nord;4.506.859;0;0;0;3.360.014;2.986.646;579.101
Centro;2.502.041;0;0;0;1.167.187;1.757.466;21.096
Sud;1.954.388;0;0;0;2.147.229;2.394.352;53.386
Italia;8.963.288;0;0;0;6.674.430;7.138.464;653.583
Operazioni di smaltimento dei rifiuti pericolosi - 2021 (ISPRA);;;;;;;
Area geografica;D1 (t);D2 (t);D3 (t);D4 (t);D8 (t);D9 (t);D10 (t)
Nord;661.589;0;0;0;135.326;1.657.592;322.008
Centro;215.008;0;0;0;396;272.819;8.001
Sud;341.748;0;0;0;1.283;373.333;119.853
Italia;1.218.345;0;0;0;137.005;2.303.744;449.862
Legenda;;;;;;;
Codifiche delle operazioni di recupero (R) e smaltimento (D):;;;;;;;
R1: Utilizzazione principale come combustibile o come altro mezzo per produrre energia;;;;;;;
R2: Rigenerazione/recupero di solventi;;;;;;;
R3: Riciclo/recupero delle sostanze organiche non utilizzate come solventi (comprese le operazioni di compostaggio e altre trasformazioni biologiche);;;;;;;
R4: Riciclo/recupero dei metalli e dei composti metallici;;;;;;;
R5: Riciclo/recupero di altre sostanze inorganiche;;;;;;;
R6: Rigenerazione degli acidi o delle basi;;;;;;;
R7: Recupero dei prodotti che servono a captare gli inquinanti;;;;;;;
R8: Recupero dei prodotti provenienti dai catalizzatori;;;;;;;
R9: Rigenerazione o altri reimpieghi degli oli;;;;;;;
R10: Spandimento sul suolo a beneficio dell'agricoltura o dell'ecologia;;;;;;;
R11: Utilizzazione di rifiuti ottenuti da una delle operazioni indicate da R1 a R10;;;;;;;
R12: Scambio di rifiuti per sottoporli a una delle operazioni indicate da R1 a R11;;;;;;;
R13: Messa in riserva;;;;;;;
D1: Deposito sul o nel suolo (a esempio discarica);;;;;;;
D2: Trattamento in ambiente terrestre (ad esempio biodegradazione dei rifiuti liquidi o fanghi sui suoli);;;;;;;
D3: Iniezioni in profondita' (ad esempio iniezioni dei rifiuti pompabili in pozzi, in cupole saline o faglie geologiche naturali);;;;;;;
D4: Lagunaggio (ad esempio scarico di rifuti liquidi o di fanghi in pozzi, stagni o lagune ecc.);;;;;;;
D8: Trattamento biologico non specificato altrove nel presente allegato, che dia origine a composti o a miscugli che vengono eliminati secondo uno dei procedimenti elencati nei punti da D1 a D12;;;;;;;
D9: Trattamento fisico-chimico non specificato altrove nel presente allegato che dia origine a composti o a miscugli eliminati secondo uno dei procedimenti elencati nei punti da D1 a D12 (a esempio evaporazione, essiccazione, calcinazione, ecc.);;;;;;;
D10: Incenerimento a terra;;;;;;;
D13: Raggruppamento preliminare prima di una delle operazioni di cui ai punti da D1 a D12;;;;;;;
D14: Ricondizionamento preliminare prima di una delle operazioni di cui ai punti da D1 a D13;;;;;;;
D15: Deposito preliminare;;;;;;;
