sezione;col1;col2;col3;col4;col5
Nord;71.084.174;6.534.507;3;77.618.684;
Centro;23.986.606;1.301.806;1;25.288.413;
Sud;30.238.766;1.772.743;130;32.011.639;
Italia;125.309.546;9.609.056;134;134.918.736;
Produzione dei rifiuti speciali pericolosi e non pericolosi per attivita' economica - 2016 (ISPRA);;;;;
Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;238.587;36.930;41.227;316.744;
02 - Silvicoltura ed utilizzo di aree forestali;5.816;470;6.733;13.019;
03 - Pesca e acquacoltura;471;232;575;1.278;
05 - Estrazione di carbone (esclusa torba);210;9;384;603;
06 - Estrazione di petrolio greggio e di gas naturale;45.465;23.101;270.837;339.403;
07 - Estrazione di minerali metalliferi;2.510;340;187;3.037;
08 - Altre attivita' di estrazione di minerali da cave e miniere;79.485;47.625;9.103;136.213;
09 - Attivita' dei servizi di supporto all'estrazione;273.987;2.634;11.079;287.700;
10, 11 - Industria alimentare e delle bevande;1.921.587;420.735;868.238;3.210.560;
12 - Industria del tabacco;9.120;2.300;481;11.901;
13 - Industria tessile;306.011;73.822;45.023;424.856;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;74.321;43.275;26.679;144.275;
15 - Fabbricazione di articoli in pelle e simili;274.989;237.212;53.030;565.231;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;918.171;83.759;88.594;1.090.524;
17 - Fabbricazione di carta e di prodotti in carta;899.004;482.439;107.366;1.488.809;
18 - Stampa e riproduzione di supporti registrati;294.847;61.385;39.104;395.336;
19 - Raffinerie petrolio, fabbricazione coke;249.619;31.672;265.048;546.339;
20 - Fabbricazione di prodotti chimici;1.044.915;706.199;203.408;1.954.522;
21 - Fabbricazione di prodotti farmaceutici di base e preparati;532.785;63.192;40.889;636.866;
22 - Industria gomma e materie plastiche;630.757;93.296;89.360;813.413;
23 - Industria minerali non metalliferi;2.233.098;479.808;246.057;2.958.963;
