sezione;col1;col2;col3;col4;col5
24 - Industria metallurgica;4.789.531;887.094;1.594.047;7.270.672;
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);2.845.744;335.733;414.645;3.596.122;
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;94.879;12.140;26.887;133.906;
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;445.207;35.801;31.440;512.448;
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;573.343;83.962;46.106;703.411;
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;350.268;56.375;152.790;559.433;
30 - Fabbricazione di altri mezzi di trasporto;69.954;25.452;36.446;131.852;
31 - Fabbricazione di mobili;437.768;134.564;22.858;595.190;
32 - Altre industrie manifatturiere;88.900;22.855;9.121;120.876;
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;78.479;18.154;26.893;123.526;
35 - Fornitura di energia elettrica, gas, vapore e aria;890.018;739.099;1.071.833;2.700.950;
36 - Raccolta, trattamento e fornitura di acqua;699.764;186.877;97.500;984.141;
37 - Gestione delle reti fognarie;1.898.447;1.228.220;968.190;4.094.857;
38 - Attivita' di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;17.715.965;7.124.149;10.028.292;34.868.406;
39 - Attivita' di risanamento e altri servizi di gestione dei rifiuti;389.958;235.657;1.019.350;1.644.965;
41, 42, 43 - Costruzioni;32.132.567;9.980.892;12.698.118;54.811.577;
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;1.118.468;452.518;639.598;2.210.584;
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);1.629.564;486.226;272.119;2.387.909;
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);123.203;34.536;48.226;205.965;
49 - Trasporto terrestre e trasporto mediante condotte;506.356;73.664;76.935;656.955;
50 - Trasporto marittimo e per vie d'acqua;52.096;1.700;4.541;58.337;
51 - Trasporto aereo;864;847;806;2.517;
52 - Magazzinaggio e attivita' di supporto ai trasporti;146.585;50.780;73.063;270.428;
53 - Servizi postali e attivita' di corriere;1.044;438;23;1.505;
55 - Alloggio;6.539;21.340;17.885;45.764;
56 - Attivita' dei servizi di ristorazione;15.144;7.704;10.466;33.314;
58 - Attivita' editoriali;15.803;5.768;5.132;26.703;
59 - Attivita' di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;771;709;63;1.543;
60 - Attivita' di programmazione e trasmissione;1.040;872;63;1.975;
61 - Telecomunicazioni;3.739;3.963;1.713;9.415;
62 - Produzione di software, consulenza informatica e attivita' connesse;4.345;1.184;171;5.700;
63 - Attivita' dei servizi d'informazione e altri servizi informatici;2.032;1.071;269;3.372;
64 - Attivita' di servizi finanziari (escluse le assicurazioni e i fondi pensione);1.995;822;601;3.418;
65 - Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie);543;149;-;692;
66 - Attivita' ausiliarie dei servizi finanziari e delle attivita' assicurative;43;64;3;110;
68 - Attivita' immobiliari;21.411;7.662;5.466;34.539;
69 - Attivita' legali e contabilita';216;67;65;348;
70 - Attivita' di direzione aziendale e di consulenza gestionale;5.936;1.838;760;8.534;
71 - Attivita' degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;38.919;1.641;3.157;43.717;
72 - Ricerca scientifica e sviluppo;15.849;13.945;865;30.659;
73 - Pubblicita' e ricerche di mercato;3.998;762;207;4.967;
74 - Altre attivita' professionali, scientifiche e tecniche;22.377;1.351;2.237;25.965;
75 - Servizi veterinari;1.581;282;2.271;4.134;
77 - Attivita' di noleggio e leasing operativo;9.901;2.965;2.095;14.961;
78 - Attivita' di ricerca, selezione, fornitura di personale;-;-;5;5;
79 - Attivita' dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attivita' connesse;83;303;70;456;
80 - Servizi di vigilanza e investigazione;2.583;275;106;2.964;
81 - Attivita' di servizi per edifici e paesaggio;71.891;33.030;23.635;128.556;
82 - Attivita' di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;60.147;10.554;33.231;103.932;
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;41.202;16.053;49.885;107.140;
85 - Istruzione;26.687;2.297;1.593;30.577;
86, 87, 88 - Sanita' e assistenza sociale;77.109;42.712;47.259;167.080;
90 - Attivita' creative, artistiche e di intrattenimento;1.520;1.283;14.413;17.216;
91 - Attivita' di biblioteche, archivi, musei ed altre attivita' culturali;1.901;201;114;2.216;
92 - Attivita' riguardanti le lotterie, le scommesse, le case da gioco;10.257;193;60;10.510;
93 - Attivita' sportive, di intrattenimento e di divertimento;4.115;1.546;2.116;7.777;
94 - Attivita' di organizzazioni associative;2.069;542;1.286;3.897;
95 - Riparazione di computer e di beni per uso personale e per la casa;1.485;814;224;2.523;
96 - Altre attivita' di servizi per la persona;27.690;4.459;5.718;37.867;
97 - Attivita' di famiglie e convivenze come datori di lavoro per personale domestico;241;-;-;241;
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze;172;-;-;172;
99 - Organizzazioni ed organismi extraterritoriali;868;1.260;279;2.407;
ND - Attivita' Istat non determinata;1.752;563;4.797;7.112;
ND - Codice CER non determinato;3;1;130;134;
Totale;77.618.684;25.288.413;32.011.639;134.918.736;
Produzione dei rifiuti speciali non pericolosi per attivita' economica - 2016 (ISPRA);;;;;
Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;232.101;35.490;39.942;307.533;
02 - Silvicoltura ed utilizzo di aree forestali;5.491;438;6.606;12.535;
03 - Pesca e acquacoltura;453;178;514;1.145;
05 - Estrazione di carbone (esclusa torba);27;5;330;362;
06 - Estrazione di petrolio greggio e di gas naturale;44.742;22.743;236.862;304.347;
07 - Estrazione di minerali metalliferi;2.509;323;185;3.017;
08 - Altre attivita' di estrazione di minerali da cave e miniere;78.767;47.310;8.570;134.647;
09 - Attivita' dei servizi di supporto all'estrazione;269.258;2.625;10.211;282.094;
10, 11 - Industria alimentare e delle bevande;1.910.084;419.978;866.585;3.196.647;
12 - Industria del tabacco;9.091;2.268;472;11.831;
13 - Industria tessile;284.882;69.118;44.797;398.797;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;73.316;43.206;26.337;142.859;
15 - Fabbricazione di articoli in pelle e simili;270.969;234.655;52.608;558.232;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;908.365;81.809;87.887;1.078.061;
17 - Fabbricazione di carta e di prodotti in carta;886.356;479.412;104.736;1.470.504;
18 - Stampa e riproduzione di supporti registrati;277.911;58.764;37.439;374.114;
19 - Raffinerie petrolio, fabbricazione coke;20.078;6.333;45.274;71.685;
20 - Fabbricazione di prodotti chimici;471.384;652.570;160.359;1.284.313;
21 - Fabbricazione di prodotti farmaceutici di base e preparati;113.719;33.685;19.105;166.509;
22 - Industria gomma e materie plastiche;546.818;86.871;83.253;716.942;
23 - Industria minerali non metalliferi;2.161.337;470.638;240.847;2.872.822;
24 - Industria metallurgica;4.140.076;773.499;1.401.165;6.314.740;
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);2.493.187;300.871;393.805;3.187.863;
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;84.037;10.953;24.233;119.223;
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;383.161;32.601;24.645;440.407;
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;477.203;73.081;37.493;587.777;
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;298.365;51.036;137.755;487.156;
30 - Fabbricazione di altri mezzi di trasporto;49.114;20.753;23.170;93.037;
31 - Fabbricazione di mobili;428.311;132.780;22.407;583.498;
32 - Altre industrie manifatturiere;49.098;17.338;8.646;75.082;
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;49.628;12.154;18.357;80.139;
35 - Fornitura di energia elettrica, gas, vapore e aria;859.658;645.284;1.015.380;2.520.322;
36 - Raccolta, trattamento e fornitura di acqua;698.692;186.678;94.384;979.754;
37 - Gestione delle reti fognarie;1.799.865;1.143.505;914.592;3.857.962;
38 - Attivita' di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;15.673.654;6.798.400;9.705.613;32.177.667;
39 - Attivita' di risanamento e altri servizi di gestione dei rifiuti;270.383;196.885;895.850;1.363.118;
41, 42, 43 - Costruzioni;31.781.479;9.948.421;12.666.781;54.396.681;
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;377.742;141.547;191.957;711.246;
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);1.533.455;476.928;261.956;2.272.339;
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);112.173;28.555;46.642;187.370;
49 - Trasporto terrestre e trasporto mediante condotte;462.821;69.914;66.366;599.101;
50 - Trasporto marittimo e per vie d'acqua;6.902;901;531;8.334;
51 - Trasporto aereo;776;716;780;2.272;
52 - Magazzinaggio e attivita' di supporto ai trasporti;121.177;36.065;35.197;192.439;
53 - Servizi postali e attivita' di corriere;1.034;338;23;1.395;
55 - Alloggio;6.358;21.249;17.735;45.342;
56 - Attivita' dei servizi di ristorazione;15.050;7.670;10.427;33.147;
58 - Attivita' editoriali;13.837;5.602;4.918;24.357;
59 - Attivita' di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;658;700;62;1.420;
60 - Attivita' di programmazione e trasmissione;995;808;48;1.851;
61 - Telecomunicazioni;2.321;3.109;597;6.027;
62 - Produzione di software, consulenza informatica e attivita' connesse;3.422;1.141;163;4.726;
63 - Attivita' dei servizi d'informazione e altri servizi informatici;2.007;1.014;263;3.284;
64 - Attivita' di servizi finanziari (escluse le assicurazioni e i fondi pensione);1.676;800;227;2.703;
65 - Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie);538;142;-;680;
66 - Attivita' ausiliarie dei servizi finanziari e delle attivita' assicurative;33;56;3;92;
68 - Attivita' immobiliari;20.673;7.518;5.391;33.582;
69 - Attivita' legali e contabilita';157;64;63;284;
70 - Attivita' di direzione aziendale e di consulenza gestionale;5.284;1.456;573;7.313;
71 - Attivita' degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;35.682;897;1.863;38.442;
72 - Ricerca scientifica e sviluppo;11.309;12.957;571;24.837;
73 - Pubblicita' e ricerche di mercato;3.931;740;197;4.868;
74 - Altre attivita' professionali, scientifiche e tecniche;13.296;1.135;334;14.765;
75 - Servizi veterinari;742;121;1.986;2.849;
77 - Attivita' di noleggio e leasing operativo;7.907;2.495;1.743;12.145;
78 - Attivita' di ricerca, selezione, fornitura di personale;-;-;1;1;
79 - Attivita' dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attivita' connesse;47;302;4;353;
80 - Servizi di vigilanza e investigazione;2.487;252;92;2.831;
81 - Attivita' di servizi per edifici e paesaggio;63.563;21.575;21.223;106.361;
82 - Attivita' di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;46.487;10.262;31.923;88.672;
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;32.305;13.790;43.716;89.811;
85 - Istruzione;18.318;1.379;510;20.207;
86, 87, 88 - Sanita' e assistenza sociale;11.202;11.741;6.700;29.643;
90 - Attivita' creative, artistiche e di intrattenimento;1.397;1.264;14.280;16.941;
91 - Attivita' di biblioteche, archivi, musei ed altre attivita' culturali;1.717;193;99;2.009;
92 - Attivita' riguardanti le lotterie, le scommesse, le case da gioco;6.883;157;46;7.086;
93 - Attivita' sportive, di intrattenimento e di divertimento;3.707;1.426;2.096;7.229;
94 - Attivita' di organizzazioni associative;1.855;484;1.199;3.538;
95 - Riparazione di computer e di beni per uso personale e per la casa;1.381;722;161;2.264;
96 - Altre attivita' di servizi per la persona;24.833;4.063;5.077;33.973;
97 - Attivita' di famiglie e convivenze come datori di lavoro per personale domestico;191;-;-;191;
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze;153;-;-;153;
99 - Organizzazioni ed organismi extraterritoriali;807;1.210;250;2.267;
ND - Attivita' Istat non determinata;1.316;490;3.578;5.384;
Totale;71.084.174;23.986.606;30.238.766;125.309.546;
Produzione dei rifiuti speciali pericolosi per attivita' economica - 2016 (ISPRA);;;;;
Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;6.486;1.440;1.285;9.211;
02 - Silvicoltura ed utilizzo di aree forestali;325;32;127;484;
03 - Pesca e acquacoltura;18;54;61;133;
05 - Estrazione di carbone (esclusa torba);183;4;54;241;
06 - Estrazione di petrolio greggio e di gas naturale;723;358;33.975;35.056;
07 - Estrazione di minerali metalliferi;1;17;2;20;
08 - Altre attivita' di estrazione di minerali da cave e miniere;718;315;533;1.566;
09 - Attivita' dei servizi di supporto all'estrazione;4.729;9;868;5.606;
10, 11 - Industria alimentare e delle bevande;11.503;757;1.653;13.913;
12 - Industria del tabacco;29;32;9;70;
13 - Industria tessile;21.129;4.704;226;26.059;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;1.005;69;342;1.416;
15 - Fabbricazione di articoli in pelle e simili;4.020;2.557;422;6.999;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;9.806;1.950;707;12.463;
17 - Fabbricazione di carta e di prodotti in carta;12.648;3.027;2.630;18.305;
18 - Stampa e riproduzione di supporti registrati;16.936;2.621;1.665;21.222;
19 - Raffinerie petrolio, fabbricazione coke;229.541;25.339;219.774;474.654;
20 - Fabbricazione di prodotti chimici;573.531;53.629;43.049;670.209;
21 - Fabbricazione di prodotti farmaceutici di base e preparati;419.066;29.507;21.784;470.357;
22 - Industria gomma e materie plastiche;83.939;6.425;6.107;96.471;
23 - Industria minerali non metalliferi;71.761;9.170;5.210;86.141;
24 - Industria metallurgica;649.455;113.595;192.882;955.932;
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);352.557;34.862;20.840;408.259;
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;10.842;1.187;2.654;14.683;
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;62.046;3.200;6.795;72.041;
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;96.140;10.881;8.613;115.634;
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;51.903;5.339;15.035;72.277;
30 - Fabbricazione di altri mezzi di trasporto;20.840;4.699;13.276;38.815;
31 - Fabbricazione di mobili;9.457;1.784;451;11.692;
32 - Altre industrie manifatturiere;39.802;5.517;475;45.794;
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;28.851;6.000;8.536;43.387;
35 - Fornitura di energia elettrica, gas, vapore e aria;30.360;93.815;56.453;180.628;
36 - Raccolta, trattamento e fornitura di acqua;1.072;199;3.116;4.387;
37 - Gestione delle reti fognarie;98.582;84.715;53.598;236.895;
38 - Attivita' di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;2.042.311;325.749;322.679;2.690.739;
39 - Attivita' di risanamento e altri servizi di gestione dei rifiuti;119.575;38.772;123.500;281.847;
41, 42, 43 - Costruzioni;351.088;32.471;31.337;414.896;
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;740.726;310.971;447.641;1.499.338;
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);96.109;9.298;10.163;115.570;
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);11.030;5.981;1.584;18.595;
49 - Trasporto terrestre e trasporto mediante condotte;43.535;3.750;10.569;57.854;
50 - Trasporto marittimo e per vie d'acqua;45.194;799;4.010;50.003;
51 - Trasporto aereo;88;131;26;245;
52 - Magazzinaggio e attivita' di supporto ai trasporti;25.408;14.715;37.866;77.989;
53 - Servizi postali e attivita' di corriere;10;100;-;110;
55 - Alloggio;181;91;150;422;
56 - Attivita' dei servizi di ristorazione;94;34;39;167;
58 - Attivita' editoriali;1.966;166;214;2.346;
59 - Attivita' di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;113;9;1;123;
60 - Attivita' di programmazione e trasmissione;45;64;15;124;
61 - Telecomunicazioni;1.418;854;1.116;3.388;
62 - Produzione di software, consulenza informatica e attivita' connesse;923;43;8;974;
63 - Attivita' dei servizi d'informazione e altri servizi informatici;25;57;6;88;
64 - Attivita' di servizi finanziari (escluse le assicurazioni e i fondi pensione);319;22;374;715;
65 - Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie);5;7;-;12;
66 - Attivita' ausiliarie dei servizi finanziari e delle attivita' assicurative;10;8;-;18;
68 - Attivita' immobiliari;738;144;75;957;
69 - Attivita' legali e contabilita';59;3;2;64;
70 - Attivita' di direzione aziendale e di consulenza gestionale;652;382;187;1.221;
71 - Attivita' degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;3.237;744;1.294;5.275;
72 - Ricerca scientifica e sviluppo;4.540;988;294;5.822;
73 - Pubblicita' e ricerche di mercato;67;22;10;99;
74 - Altre attivita' professionali, scientifiche e tecniche;9.081;216;1.903;11.200;
75 - Servizi veterinari;839;161;285;1.285;
77 - Attivita' di noleggio e leasing operativo;1.994;470;352;2.816;
78 - Attivita' di ricerca, selezione, fornitura di personale;-;-;4;4;
79 - Attivita' dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attivita' connesse;36;1;66;103;
80 - Servizi di vigilanza e investigazione;96;23;14;133;
81 - Attivita' di servizi per edifici e paesaggio;8.328;11.455;2.412;22.195;
82 - Attivita' di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;13.660;292;1.308;15.260;
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;8.897;2.263;6.169;17.329;
85 - Istruzione;8.369;918;1.083;10.370;
86, 87, 88 - Sanita' e assistenza sociale;65.907;30.971;40.559;137.437;
90 - Attivita' creative, artistiche e di intrattenimento;123;19;133;275;
91 - Attivita' di biblioteche, archivi, musei ed altre attivita' culturali;184;8;15;207;
92 - Attivita' riguardanti le lotterie, le scommesse, le case da gioco;3.374;36;14;3.424;
93 - Attivita' sportive, di intrattenimento e di divertimento;408;120;20;548;
94 - Attivita' di organizzazioni associative;214;58;87;359;
95 - Riparazione di computer e di beni per uso personale e per la casa;104;92;63;259;
96 - Altre attivita' di servizi per la persona;2.857;396;641;3.894;
97 - Attivita' di famiglie e convivenze come datori di lavoro per personale domestico;50;-;-;50;
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze;19;-;-;19;
99 - Organizzazioni ed organismi extraterritoriali;61;50;29;140;
ND - Attivita' Istat non determinata;436;73;1.219;1.728;
Totale;6.534.507;1.301.806;1.772.743;9.609.056;
Produzione dei rifiuti speciali pericolosi e non pericolosi per Capitolo dell'Elenco Europeo dei Rifiuti - 2016 (ISPRA);;;;;
Capitolo dell'Elenco;Nord (t);Centro (t);Sud (t);Italia (t);
ND - Attivita' ISTAT non determinata;1.752;563;4.797;7.112;
00 - CER non disponibile;3;1;130;134;
01 - Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonche' dal trattamento fisico o chimico di minerali;1.106.315;564.136;217.952;1.888.403;
02 - Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;1.800.728;396.754;828.629;3.026.111;
03 - Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;1.382.096;567.913;119.537;2.069.546;
04 - Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;363.681;271.521;72.023;707.225;
05 - Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;24.640;17.675;70.045;112.360;
06 - Rifiuti dei processi chimici inorganici;330.755;562.347;45.937;939.039;
07 - Rifiuti dei processi chimici organici;1.300.499;141.879;104.935;1.547.313;
08 - Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;813.389;91.242;35.351;939.982;
09 - Rifiuti dell'industria fotografica;12.315;1.586;2.658;16.559;
10 - Rifiuti provenienti da processi termici;5.108.356;1.264.557;2.207.421;8.580.334;
11 - Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;336.286;67.720;97.902;501.908;
12 - Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;4.401.326;400.594;489.673;5.291.593;
13 - Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12);669.234;104.394;224.208;997.836;
14 - Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08);36.796;6.009;2.665;45.470;
15 - Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;2.689.336;628.520;599.390;3.917.246;
16 - Rifiuti non specificati altrimenti nell'elenco;3.240.839;1.248.719;2.519.272;7.008.830;
17 - Rifiuti delle attivita' di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);31.844.985;9.892.477;12.591.965;54.329.427;
18 - Rifiuti prodotti dal settore sanitario e veterinario o da attivita' di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);87.380;41.937;49.326;178.643;
19 - Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonche' dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;20.430.392;8.411.703;11.190.488;40.032.583;
20 - Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attivita' commerciali e industriali nonche' dalle istituzioni) inclusi i rifiuti della raccolta differenziata;1.637.581;606.166;537.335;2.781.082;
Totale;77.618.684;25.288.413;32.011.639;134.918.736;
Produzione dei rifiuti speciali non pericolosi per Capitolo dell'Elenco Europeo dei Rifiuti - 2016 (ISPRA);;;;;
Capitolo dell'Elenco;Nord (t);Centro (t);Sud (t);Italia (t);
ND - Attivita' ISTAT non determinata;1.316;490;3.578;5.384;
01 - Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonche' dal trattamento fisico o chimico di minerali;1.102.030;564.112;215.965;1.882.107;
02 - Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;1.800.563;396.724;828.620;3.025.907;
03 - Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;1.374.374;566.764;118.167;2.059.305;
04 - Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;363.286;271.346;71.939;706.571;
05 - Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;3.118;14.165;1.159;18.442;
06 - Rifiuti dei processi chimici inorganici;227.075;546.538;24.301;797.914;
07 - Rifiuti dei processi chimici organici;304.829;73.009;60.329;438.167;
08 - Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;752.539;82.299;26.824;861.662;
09 - Rifiuti dell'industria fotografica;738;99;396;1.233;
10 - Rifiuti provenienti da processi termici;4.623.916;1.242.488;2.094.915;7.961.319;
11 - Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;117.228;38.333;24.583;180.144;
12 - Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;3.982.666;381.750;464.643;4.829.059;
15 - Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;2.568.663;597.968;575.256;3.741.887;
16 - Rifiuti non specificati altrimenti nell'elenco;2.195.296;881.408;1.930.718;5.007.422;
17 - Rifiuti delle attivita' di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);31.241.543;9.781.857;12.468.799;53.492.199;
18 - Rifiuti prodotti dal settore sanitario e veterinario o da attivita' di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);10.330;4.850;3.742;18.922;
19 - Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonche' dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;18.786.939;7.937.309;10.792.410;37.516.658;
20 - Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attivita' commerciali e industriali nonche' dalle istituzioni) inclusi i rifiuti della raccolta differenziata;1.627.725;605.097;532.422;2.765.244;
Totale;71.084.174;23.986.606;30.238.766;125.309.546;
Produzione dei rifiuti speciali pericolosi per Capitolo dell'Elenco Europeo dei Rifiuti - 2016 (ISPRA);;;;;
Capitolo dell'Elenco;Nord (t);Centro (t);Sud (t);Italia (t);
ND - Attivita' ISTAT non determinata;436;73;1.219;1.728;
01 - Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonche' dal trattamento fisico o chimico di minerali;4.285;24;1.987;6.296;
02 - Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;165;30;9;204;
03 - Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;7.722;1.149;1.370;10.241;
04 - Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;395;175;84;654;
05 - Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;21.522;3.510;68.886;93.918;
