sezione;col1;col2;col3;col4;col5
Nord;78.030.729;6.856.345;0;84.887.074;
Centro;23.826.676;1.318.803;0;25.145.479;
Sud;31.577.142;1.870.007;0;33.447.149;
Italia;133.434.547;10.045.155;0;143.479.702;
Produzione dei rifiuti speciali pericolosi e non pericolosi per attivita' economica - 2018 (ISPRA);;;;;
Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;264.941;25.680;41.713;332.334;
02 - Silvicoltura ed utilizzo di aree forestali;4.012;619;43;4.674;
03 - Pesca e acquacoltura;1.190;295;1.459;2.944;
05 - Estrazione di carbone (esclusa torba);2;7;-;9;
06 - Estrazione di petrolio greggio e di gas naturale;72.347;17.993;929.709;1.020.049;
07 - Estrazione di minerali metalliferi;-;39;145;184;
08 - Altre attivita' di estrazione di minerali da cave e miniere;76.346;56.336;33.965;166.647;
09 - Attivita' dei servizi di supporto all'estrazione;166.366;2.028;2.274;170.668;
10, 11 - Industria alimentare e delle bevande;1.983.201;442.187;915.541;3.340.929;
12 - Industria del tabacco;14.152;2.051;588;16.791;
13 - Industria tessile;225.578;82.139;27.339;335.056;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;76.057;46.589;30.426;153.072;
15 - Fabbricazione di articoli in pelle e simili;302.283;250.154;53.102;605.539;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;1.103.533;85.795;96.727;1.286.055;
17 - Fabbricazione di carta e di prodotti in carta;883.626;465.867;161.286;1.510.779;
18 - Stampa e riproduzione di supporti registrati;301.720;60.448;36.884;399.052;
19 - Raffinerie petrolio, fabbricazione coke;264.544;49.037;227.595;541.176;
20 - Fabbricazione di prodotti chimici;1.086.695;668.294;171.320;1.926.309;
21 - Fabbricazione di prodotti farmaceutici di base e preparati;538.454;56.435;41.798;636.687;
22 - Industria gomma e materie plastiche;656.350;88.204;88.438;832.992;
23 - Industria minerali non metalliferi;2.314.967;429.014;188.604;2.932.585;
24 - Industria metallurgica;5.414.895;863.504;807.159;7.085.558;
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);3.007.606;362.005;408.713;3.778.324;
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;48.660;10.049;21.690;80.399;
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;239.477;31.694;28.026;299.197;
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;914.254;105.756;53.838;1.073.848;
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;397.537;57.373;126.219;581.129;
30 - Fabbricazione di altri mezzi di trasporto;144.111;26.194;38.676;208.981;
31 - Fabbricazione di mobili;478.901;154.672;23.603;657.176;
32 - Altre industrie manifatturiere;81.500;26.457;6.029;113.986;
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;129.494;19.424;32.730;181.648;
35 - Fornitura di energia elettrica, gas, vapore e aria;798.077;626.580;864.832;2.289.489;
36 - Raccolta, trattamento e fornitura di acqua;725.572;120.066;217.319;1.062.957;
37 - Gestione delle reti fognarie;1.845.527;1.104.687;678.142;3.628.356;
38 - Attivita' di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;18.596.834;7.277.036;10.339.695;36.213.565;
39 - Attivita' di risanamento e altri servizi di gestione dei rifiuti;768.491;148.609;914.611;1.831.711;
41, 42, 43 - Costruzioni;36.483.990;10.120.158;14.402.558;61.006.706;
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;1.206.623;435.795;731.202;2.373.620;
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);1.919.642;478.902;243.768;2.642.312;
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);128.475;37.338;43.072;208.885;
