sezione;col1;col2;col3;col4;col5
Nord;85.866.876;6.844.740;0;92.711.616;
Centro;26.827.195;1.281.535;0;28.108.730;
Sud;38.753.739;1.862.959;0;40.616.698;
Italia;151.447.810;9.989.234;0;161.437.044;
Produzione dei rifiuti speciali pericolosi e non pericolosi per attivita' economica - 2022 (ISPRA);;;;;
Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;269.913;21.303;32.064;323.280;
02 - Silvicoltura ed utilizzo di aree forestali;3.334;1.838;5.143;10.315;
03 - Pesca e acquacoltura;127;169;1.210;1.506;
05 - Estrazione di carbone (esclusa torba);-;7;535;542;
06 - Estrazione di petrolio greggio e di gas naturale;38.103;10.122;1.102.961;1.151.186;
07 - Estrazione di minerali metalliferi;-;437;-;437;
08 - Altre attivita' di estrazione di minerali da cave e miniere;61.715;50.002;57.622;169.339;
09 - Attivita' dei servizi di supporto all'estrazione;161.519;217;1.790;163.526;
10, 11 - Industria alimentare e delle bevande;1.783.618;386.674;845.710;3.016.002;
12 - Industria del tabacco;10.634;1.579;791;13.004;
13 - Industria tessile;193.202;69.487;26.503;289.192;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;50.693;30.093;19.959;100.745;
15 - Fabbricazione di articoli in pelle e simili;245.421;179.193;34.546;459.160;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;1.492.688;80.927;82.935;1.656.550;
17 - Fabbricazione di carta e di prodotti in carta;1.022.318;457.265;170.913;1.650.496;
18 - Stampa e riproduzione di supporti registrati;261.717;58.788;36.490;356.995;
19 - Raffinerie petrolio, fabbricazione coke;265.923;35.392;178.524;479.839;
20 - Fabbricazione di prodotti chimici;1.184.640;516.576;170.124;1.871.340;
21 - Fabbricazione di prodotti farmaceutici di base e preparati;566.720;75.398;66.472;708.590;
22 - Industria gomma e materie plastiche;661.272;100.240;123.355;884.867;
23 - Industria minerali non metalliferi;2.157.423;353.095;204.410;2.714.928;
24 - Industria metallurgica;4.945.510;728.959;1.551.265;7.225.734;
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);3.035.082;387.892;424.101;3.847.075;
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;41.440;9.936;22.493;73.869;
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;214.267;35.561;28.804;278.632;
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;911.629;81.074;47.986;1.040.689;
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;327.612;47.816;101.936;477.364;
30 - Fabbricazione di altri mezzi di trasporto;64.634;36.430;34.074;135.138;
31 - Fabbricazione di mobili;497.933;156.980;31.075;685.988;
32 - Altre industrie manifatturiere;94.679;32.626;5.016;132.321;
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;137.173;47.327;26.384;210.884;
35 - Fornitura di energia elettrica, gas, vapore e aria;555.540;498.074;1.171.195;2.224.809;
36 - Raccolta, trattamento e fornitura di acqua;864.621;108.172;361.751;1.334.544;
37 - Gestione delle reti fognarie;1.828.650;836.875;523.198;3.188.723;
38 - Attivita' di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;18.724.538;7.172.607;10.132.468;36.029.613;
39 - Attivita' di risanamento e altri servizi di gestione dei rifiuti;388.160;93.535;284.281;765.976;
41, 42, 43 - Costruzioni;45.173.599;14.313.334;21.270.290;80.757.223;
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;1.021.111;375.442;686.506;2.083.059;
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);2.064.069;351.881;211.177;2.627.127;
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);95.156;23.032;46.882;165.070;
49 - Trasporto terrestre e trasporto mediante condotte;573.512;89.374;147.104;809.990;
50 - Trasporto marittimo e per vie d'acqua;15.210;224;4.816;20.250;
51 - Trasporto aereo;481;282;278;1.041;
52 - Magazzinaggio e attivita' di supporto ai trasporti;267.746;56.580;83.872;408.198;
53 - Servizi postali e attivita' di corriere;263;455;126;844;
55 - Alloggio;4.309;2.549;13.665;20.523;
56 - Attivita' dei servizi di ristorazione;15.898;6.430;4.843;27.171;
58 - Attivita' editoriali;5.828;5.079;2.027;12.934;
59 - Attivita' di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;223;397;94;714;
60 - Attivita' di programmazione e trasmissione;1.247;246;166;1.659;
61 - Telecomunicazioni;3.593;1.712;2.177;7.482;
62 - Produzione di software, consulenza informatica e attivita' connesse;1.663;922;260;2.845;
63 - Attivita' dei servizi d'informazione e altri servizi informatici;1.034;679;265;1.978;
64 - Attivita' di servizi finanziari (escluse le assicurazioni e i fondi pensione);2.874;363;301;3.538;
65 - Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie);481;89;6;576;
66 - Attivita' ausiliarie dei servizi finanziari e delle attivita' assicurative;25;49;5;79;
68 - Attivita' immobiliari;8.259;2.555;7.802;18.616;
69 - Attivita' legali e contabilita';156;267;49;472;
70 - Attivita' di direzione aziendale e di consulenza gestionale;5.576;1.256;9.532;16.364;
71 - Attivita' degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;22.585;3.341;2.496;28.422;
72 - Ricerca scientifica e sviluppo;20.703;3.394;3.651;27.748;
73 - Pubblicita' e ricerche di mercato;2.591;708;292;3.591;
74 - Altre attivita' professionali, scientifiche e tecniche;7.571;4.133;1.981;13.685;
75 - Servizi veterinari;698;213;611;1.522;
77 - Attivita' di noleggio e leasing operativo;15.938;12.032;3.050;31.020;
78 - Attivita' di ricerca, selezione, fornitura di personale;169;-;20;189;
79 - Attivita' dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attivita' connesse;35;78;93;206;
80 - Servizi di vigilanza e investigazione;163;137;29;329;
81 - Attivita' di servizi per edifici e paesaggio;75.532;48.363;70.781;194.676;
82 - Attivita' di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;60.230;32.142;26.905;119.277;
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;24.036;4.466;20.576;49.078;
85 - Istruzione;2.247;1.412;1.136;4.795;
86, 87, 88 - Sanita' e assistenza sociale;115.117;54.469;69.956;239.542;
90 - Attivita' creative, artistiche e di intrattenimento;2.794;997;993;4.784;
91 - Attivita' di biblioteche, archivi, musei ed altre attivita' culturali;707;150;64;921;
92 - Attivita' riguardanti le lotterie, le scommesse, le case da gioco;531;147;68;746;
93 - Attivita' sportive, di intrattenimento e di divertimento;4.149;671;921;5.741;
94 - Attivita' di organizzazioni associative;2.023;319;594;2.936;
95 - Riparazione di computer e di beni per uso personale e per la casa;3.706;697;151;4.554;
96 - Altre attivita' di servizi per la persona;22.513;4.200;10.535;37.248;
97 - Attivita' di famiglie e convivenze come datori di lavoro per personale domestico;127;-;-;127;
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze;157;-;-;157;
99 - Organizzazioni ed organismi extraterritoriali;115;224;215;554;
ND - Attivita' ISTAT non determinata;2.418;574;1.253;4.245;
Totale;92.711.616;28.108.730;40.616.698;161.437.044;
Produzione dei rifiuti speciali non pericolosi per attivita' economica - 2022 (ISPRA);;;;;
Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;267.131;20.765;31.174;319.070;
02 - Silvicoltura ed utilizzo di aree forestali;3.235;1.805;5.137;10.177;
03 - Pesca e acquacoltura;114;151;1.111;1.376;
05 - Estrazione di carbone (esclusa torba);-;3;520;523;
06 - Estrazione di petrolio greggio e di gas naturale;36.821;7.492;1.009.195;1.053.508;
07 - Estrazione di minerali metalliferi;-;437;-;437;
08 - Altre attivita' di estrazione di minerali da cave e miniere;60.988;49.700;55.491;166.179;
09 - Attivita' dei servizi di supporto all'estrazione;151.492;205;950;152.647;
10, 11 - Industria alimentare e delle bevande;1.767.890;385.146;843.594;2.996.630;
12 - Industria del tabacco;10.474;1.563;726;12.763;
13 - Industria tessile;178.553;65.258;26.245;270.056;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;49.551;30.022;19.626;99.199;
15 - Fabbricazione di articoli in pelle e simili;241.278;175.621;33.908;450.807;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;1.478.636;79.249;82.422;1.640.307;
17 - Fabbricazione di carta e di prodotti in carta;1.009.317;453.864;167.315;1.630.496;
18 - Stampa e riproduzione di supporti registrati;246.350;56.399;35.081;337.830;
19 - Raffinerie petrolio, fabbricazione coke;19.777;5.323;46.653;71.753;
20 - Fabbricazione di prodotti chimici;584.469;466.028;133.386;1.183.883;
21 - Fabbricazione di prodotti farmaceutici di base e preparati;138.848;32.559;30.127;201.534;
22 - Industria gomma e materie plastiche;575.882;93.888;114.979;784.749;
23 - Industria minerali non metalliferi;2.076.423;342.172;178.207;2.596.802;
24 - Industria metallurgica;4.256.189;611.008;1.438.509;6.305.706;
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);2.679.112;343.903;399.114;3.422.129;
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;29.666;8.552;18.374;56.592;
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;182.573;32.536;21.400;236.509;
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;778.842;67.943;38.733;885.518;
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;285.863;43.206;89.588;418.657;
30 - Fabbricazione di altri mezzi di trasporto;43.348;29.719;24.552;97.619;
31 - Fabbricazione di mobili;488.021;154.217;30.676;672.914;
32 - Altre industrie manifatturiere;54.255;23.436;3.477;81.168;
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;73.373;40.003;17.188;130.564;
35 - Fornitura di energia elettrica, gas, vapore e aria;519.985;412.882;1.109.518;2.042.385;
36 - Raccolta, trattamento e fornitura di acqua;860.505;107.998;360.507;1.329.010;
37 - Gestione delle reti fognarie;1.752.419;818.222;478.537;3.049.178;
