sezione;col1;col2;col3;col4;col5
Nord;89.079.254;7.271.443;0;96.350.697;
Centro;25.803.126;1.373.748;0;27.176.874;
Sud;39.307.717;2.022.695;0;41.330.412;
Italia;154.190.097;10.667.886;0;164.857.983;
Produzione dei rifiuti speciali pericolosi e non pericolosi per attivita' economica - 2021 (ISPRA);;;;;
Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;286.078;22.714;34.160;342.952;
02 - Silvicoltura ed utilizzo di aree forestali;5.242;871;74;6.187;
03 - Pesca e acquacoltura;158;173;1.500;1.831;
05 - Estrazione di carbone (esclusa torba);-;72;1.098;1.170;
06 - Estrazione di petrolio greggio e di gas naturale;34.160;9.259;1.079.371;1.122.790;
07 - Estrazione di minerali metalliferi;-;716;255;971;
08 - Altre attivita' di estrazione di minerali da cave e miniere;74.982;56.085;48.399;179.466;
09 - Attivita' dei servizi di supporto all'estrazione;182.084;177;1.100;183.361;
10, 11 - Industria alimentare e delle bevande;1.861.129;373.486;833.853;3.068.468;
12 - Industria del tabacco;10.851;1.547;775;13.173;
13 - Industria tessile;199.713;68.203;26.298;294.214;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;49.623;27.183;18.760;95.566;
15 - Fabbricazione di articoli in pelle e simili;268.539;187.120;40.315;495.974;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;1.387.714;83.653;75.051;1.546.418;
17 - Fabbricazione di carta e di prodotti in carta;1.111.692;435.263;161.291;1.708.246;
18 - Stampa e riproduzione di supporti registrati;296.181;56.682;35.967;388.830;
19 - Raffinerie petrolio, fabbricazione coke;266.689;37.699;144.497;448.885;
20 - Fabbricazione di prodotti chimici;1.248.373;703.919;194.011;2.146.303;
21 - Fabbricazione di prodotti farmaceutici di base e preparati;560.348;72.801;52.689;685.838;
22 - Industria gomma e materie plastiche;684.485;101.898;130.754;917.137;
23 - Industria minerali non metalliferi;2.231.862;362.035;196.866;2.790.763;
24 - Industria metallurgica;5.543.990;752.014;2.082.088;8.378.092;
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);3.115.018;372.423;408.489;3.895.930;
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;43.171;10.475;21.824;75.470;
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;233.781;38.650;30.274;302.705;
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;940.273;93.620;45.789;1.079.682;
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;324.580;46.335;103.534;474.449;
30 - Fabbricazione di altri mezzi di trasporto;71.451;38.740;35.128;145.319;
31 - Fabbricazione di mobili;531.387;171.506;33.002;735.895;
32 - Altre industrie manifatturiere;95.470;28.926;4.881;129.277;
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;174.651;31.032;30.039;235.722;
35 - Fornitura di energia elettrica, gas, vapore e aria;468.940;355.659;875.669;1.700.268;
36 - Raccolta, trattamento e fornitura di acqua;813.071;117.325;395.169;1.325.565;
37 - Gestione delle reti fognarie;1.904.435;889.203;587.146;3.380.784;
38 - Attivita' di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;19.832.462;7.041.776;12.357.390;39.231.628;
39 - Attivita' di risanamento e altri servizi di gestione dei rifiuti;383.098;83.706;178.840;645.644;
41, 42, 43 - Costruzioni;46.163.609;13.076.337;19.493.208;78.733.154;
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;1.207.910;464.688;803.481;2.476.079;
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);2.305.393;566.352;222.947;3.094.692;
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);118.543;30.952;48.440;197.935;
49 - Trasporto terrestre e trasporto mediante condotte;565.697;94.843;147.093;807.633;
50 - Trasporto marittimo e per vie d'acqua;18.912;316;3.810;23.038;
51 - Trasporto aereo;658;313;523;1.494;
52 - Magazzinaggio e attivita' di supporto ai trasporti;267.024;105.763;94.665;467.452;
53 - Servizi postali e attivita' di corriere;984;493;377;1.854;
55 - Alloggio;5.254;5.369;12.732;23.355;
56 - Attivita' dei servizi di ristorazione;18.905;4.410;8.668;31.983;
58 - Attivita' editoriali;7.301;4.220;1.569;13.090;
59 - Attivita' di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;144;353;129;626;
60 - Attivita' di programmazione e trasmissione;1.998;519;122;2.639;
61 - Telecomunicazioni;4.441;2.118;1.135;7.694;
62 - Produzione di software, consulenza informatica e attivita' connesse;1.651;1.020;692;3.363;
63 - Attivita' dei servizi d'informazione e altri servizi informatici;973;1.255;238;2.466;
64 - Attivita' di servizi finanziari (escluse le assicurazioni e i fondi pensione);4.331;667;672;5.670;
65 - Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie);527;83;4;614;
66 - Attivita' ausiliarie dei servizi finanziari e delle attivita' assicurative;13;65;14;92;
68 - Attivita' immobiliari;8.014;2.279;6.465;16.758;
69 - Attivita' legali e contabilita';190;231;32;453;
70 - Attivita' di direzione aziendale e di consulenza gestionale;18.859;1.900;369;21.128;
71 - Attivita' degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;18.731;2.421;3.044;24.196;
72 - Ricerca scientifica e sviluppo;16.609;3.340;1.648;21.597;
73 - Pubblicita' e ricerche di mercato;2.348;667;361;3.376;
74 - Altre attivita' professionali, scientifiche e tecniche;6.988;3.060;1.413;11.461;
75 - Servizi veterinari;720;214;463;1.397;
77 - Attivita' di noleggio e leasing operativo;14.116;5.607;2.831;22.554;
78 - Attivita' di ricerca, selezione, fornitura di personale;29;-;25;54;
79 - Attivita' dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attivita' connesse;30;45;9;84;
80 - Servizi di vigilanza e investigazione;250;752;48;1.050;
81 - Attivita' di servizi per edifici e paesaggio;74.786;36.651;71.514;182.951;
82 - Attivita' di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;58.680;14.972;24.733;98.385;
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;27.784;6.411;18.701;52.896;
85 - Istruzione;2.358;1.566;1.427;5.351;
86, 87, 88 - Sanita' e assistenza sociale;121.345;56.548;71.076;248.969;
90 - Attivita' creative, artistiche e di intrattenimento;6.178;448;1.911;8.537;
91 - Attivita' di biblioteche, archivi, musei ed altre attivita' culturali;1.612;799;231;2.642;
92 - Attivita' riguardanti le lotterie, le scommesse, le case da gioco;1.125;117;66;1.308;
