sezione;col1;col2;col3;col4;col5
Nord;74.450.064;6.528.767;0;80.978.831;
Centro;23.691.952;1.352.249;0;25.044.201;
Sud;31.084.715;1.788.460;0;32.873.175;
Italia;129.226.731;9.669.476;0;138.896.207;
Produzione dei rifiuti speciali pericolosi e non pericolosi per attivita' economica - 2017 (ISPRA);;;;;
Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;226.313;32.704;38.958;297.975;
02 - Silvicoltura ed utilizzo di aree forestali;4.218;429;122;4.769;
03 - Pesca e acquacoltura;1.138;243;1.039;2.420;
05 - Estrazione di carbone (esclusa torba);3;19;297;319;
06 - Estrazione di petrolio greggio e di gas naturale;80.882;21.954;548.379;651.215;
07 - Estrazione di minerali metalliferi;-;446;684;1.130;
08 - Altre attivita' di estrazione di minerali da cave e miniere;83.139;42.476;10.839;136.454;
09 - Attivita' dei servizi di supporto all'estrazione;140.281;2.346;2.016;144.643;
10, 11 - Industria alimentare e delle bevande;1.960.877;431.400;917.336;3.309.613;
12 - Industria del tabacco;96.400;1.946;467;98.813;
13 - Industria tessile;226.059;73.856;49.515;349.430;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;74.870;46.294;28.697;149.861;
15 - Fabbricazione di articoli in pelle e simili;294.024;242.234;51.294;587.552;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;984.227;84.385;89.856;1.158.468;
17 - Fabbricazione di carta e di prodotti in carta;914.311;464.380;126.654;1.505.345;
18 - Stampa e riproduzione di supporti registrati;303.267;58.156;39.648;401.071;
19 - Raffinerie petrolio, fabbricazione coke;292.930;48.710;209.045;550.685;
20 - Fabbricazione di prodotti chimici;1.095.815;680.100;175.305;1.951.220;
21 - Fabbricazione di prodotti farmaceutici di base e preparati;534.581;132.219;48.428;715.228;
22 - Industria gomma e materie plastiche;637.427;87.049;134.141;858.617;
23 - Industria minerali non metalliferi;2.363.739;444.399;235.640;3.043.778;
24 - Industria metallurgica;5.283.222;821.940;2.300.256;8.405.418;
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);2.976.592;370.880;434.528;3.782.000;
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;45.298;9.910;22.101;77.309;
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;289.029;34.179;28.252;351.460;
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;818.122;102.686;50.284;971.092;
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;376.466;61.109;128.996;566.571;
30 - Fabbricazione di altri mezzi di trasporto;70.072;25.514;38.101;133.687;
31 - Fabbricazione di mobili;452.514;144.554;23.263;620.331;
32 - Altre industrie manifatturiere;83.030;27.189;8.670;118.889;
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;111.696;20.242;39.766;171.704;
35 - Fornitura di energia elettrica, gas, vapore e aria;813.977;740.062;906.912;2.460.951;
36 - Raccolta, trattamento e fornitura di acqua;769.237;177.175;148.247;1.094.659;
37 - Gestione delle reti fognarie;1.934.625;1.184.352;869.022;3.987.999;
38 - Attivita' di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;17.171.917;6.842.341;9.842.567;33.856.825;
39 - Attivita' di risanamento e altri servizi di gestione dei rifiuti;481.360;179.557;1.217.327;1.878.244;
41, 42, 43 - Costruzioni;34.468.039;10.143.809;12.775.808;57.387.656;
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;1.121.945;418.131;661.973;2.202.049;
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);1.812.164;504.680;223.793;2.540.637;
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);373.786;33.490;42.285;449.561;
49 - Trasporto terrestre e trasporto mediante condotte;492.486;81.535;83.052;657.073;
50 - Trasporto marittimo e per vie d'acqua;50.206;234;2.654;53.094;
51 - Trasporto aereo;1.560;690;84;2.334;
52 - Magazzinaggio e attivita' di supporto ai trasporti;174.962;64.900;105.239;345.101;
53 - Servizi postali e attivita' di corriere;662;524;34;1.220;
55 - Alloggio;5.751;6.560;18.152;30.463;
56 - Attivita' dei servizi di ristorazione;15.146;5.994;10.784;31.924;
58 - Attivita' editoriali;12.031;5.046;4.042;21.119;
59 - Attivita' di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;749;714;71;1.534;
60 - Attivita' di programmazione e trasmissione;784;271;111;1.166;
61 - Telecomunicazioni;3.828;3.385;1.616;8.829;
62 - Produzione di software, consulenza informatica e attivita' connesse;3.687;1.966;181;5.834;
63 - Attivita' dei servizi d'informazione e altri servizi informatici;1.729;817;295;2.841;
64 - Attivita' di servizi finanziari (escluse le assicurazioni e i fondi pensione);4.341;1.262;679;6.282;
65 - Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie);432;67;-;499;
66 - Attivita' ausiliarie dei servizi finanziari e delle attivita' assicurative;18;63;1;82;
68 - Attivita' immobiliari;24.772;3.607;5.781;34.160;
69 - Attivita' legali e contabilita';389;294;195;878;
70 - Attivita' di direzione aziendale e di consulenza gestionale;8.993;1.679;801;11.473;
71 - Attivita' degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;38.916;2.586;3.412;44.914;
72 - Ricerca scientifica e sviluppo;19.635;1.768;548;21.951;
73 - Pubblicita' e ricerche di mercato;4.870;919;265;6.054;
74 - Altre attivita' professionali, scientifiche e tecniche;25.251;2.287;1.715;29.253;
75 - Servizi veterinari;681;213;488;1.382;
77 - Attivita' di noleggio e leasing operativo;16.764;8.496;1.569;26.829;
78 - Attivita' di ricerca, selezione, fornitura di personale;-;-;1;1;
79 - Attivita' dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attivita' connesse;81;141;10;232;
80 - Servizi di vigilanza e investigazione;3.024;172;83;3.279;
81 - Attivita' di servizi per edifici e paesaggio;73.390;35.903;17.951;127.244;
82 - Attivita' di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;61.636;11.308;30.314;103.258;
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;39.064;11.499;41.689;92.252;
85 - Istruzione;2.619;3.094;1.431;7.144;
86, 87, 88 - Sanita' e assistenza sociale;85.736;34.934;49.951;170.621;
90 - Attivita' creative, artistiche e di intrattenimento;5.457;2.067;5.966;13.490;
91 - Attivita' di biblioteche, archivi, musei ed altre attivita' culturali;455;700;135;1.290;
92 - Attivita' riguardanti le lotterie, le scommesse, le case da gioco;679;141;81;901;
93 - Attivita' sportive, di intrattenimento e di divertimento;5.532;717;3.329;9.578;
94 - Attivita' di organizzazioni associative;2.454;564;1.273;4.291;
95 - Riparazione di computer e di beni per uso personale e per la casa;3.570;689;316;4.575;
96 - Altre attivita' di servizi per la persona;18.549;6.995;5.496;31.040;
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze;-;-;2;2;
99 - Organizzazioni ed organismi extraterritoriali;4;1.180;205;1.389;
ND - Attivita' ISTAT non determinata;346;675;2.662;3.683;
Totale;80.978.831;25.044.201;32.873.175;138.896.207;
Produzione dei rifiuti speciali non pericolosi per attivita' economica - 2017 (ISPRA);;;;;
Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;221.417;31.315;37.562;290.294;
02 - Silvicoltura ed utilizzo di aree forestali;4.179;411;108;4.698;
03 - Pesca e acquacoltura;1.124;200;967;2.291;
05 - Estrazione di carbone (esclusa torba);-;14;279;293;
06 - Estrazione di petrolio greggio e di gas naturale;79.494;21.001;416.518;517.013;
07 - Estrazione di minerali metalliferi;-;430;684;1.114;
08 - Altre attivita' di estrazione di minerali da cave e miniere;82.505;42.183;10.226;134.914;
09 - Attivita' dei servizi di supporto all'estrazione;138.558;2.338;1.669;142.565;
10, 11 - Industria alimentare e delle bevande;1.948.960;430.085;915.522;3.294.567;
12 - Industria del tabacco;96.295;1.938;458;98.691;
13 - Industria tessile;206.359;69.974;49.376;325.709;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;73.686;46.237;28.382;148.305;
15 - Fabbricazione di articoli in pelle e simili;289.635;239.525;50.855;580.015;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;974.015;82.630;89.154;1.145.799;
17 - Fabbricazione di carta e di prodotti in carta;902.100;461.329;123.784;1.487.213;
18 - Stampa e riproduzione di supporti registrati;285.195;55.663;37.983;378.841;
19 - Raffinerie petrolio, fabbricazione coke;20.921;19.245;25.456;65.622;
20 - Fabbricazione di prodotti chimici;511.409;635.269;124.160;1.270.838;
21 - Fabbricazione di prodotti farmaceutici di base e preparati;110.828;38.790;23.593;173.211;
22 - Industria gomma e materie plastiche;548.714;80.302;128.032;757.048;
23 - Industria minerali non metalliferi;2.292.464;437.917;230.772;2.961.153;
24 - Industria metallurgica;4.599.230;706.250;2.097.952;7.403.432;
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);2.618.677;332.842;411.089;3.362.608;
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;33.170;8.818;19.202;61.190;
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;255.747;31.773;21.922;309.442;
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;694.289;91.544;40.958;826.791;
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;323.708;56.176;114.686;494.570;
