sezione;col1;col2;col3;col4;col5
Nord;70.015.564;6.210.198;683;76.226.445;
Centro;23.313.740;1.218.746;0;24.532.486;
Sud;30.001.772;1.668.171;8;31.669.951;
Italia;123.331.076;9.097.115;691;132.428.882;
Produzione dei rifiuti speciali pericolosi e non pericolosi per attivita' economica - 2015 (ISPRA);;;;;
Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;225.776;46.576;46.484;318.836;
02 - Silvicoltura ed utilizzo di aree forestali;5.550;796;77;6.423;
03 - Pesca e acquacoltura;429;202;578;1.209;
05 - Estrazione di carbone (esclusa torba);-;4;315;319;
06 - Estrazione di petrolio greggio e di gas naturale;52.764;26.255;540.061;619.080;
07 - Estrazione di minerali metalliferi;-;313;1.070;1.383;
08 - Altre attivita' di estrazione di minerali da cave e miniere;57.074;36.307;19.582;112.963;
09 - Attivita' dei servizi di supporto all'estrazione;227.051;5.677;8.183;240.911;
10, 11 - Industria alimentare e delle bevande;1.928.568;428.554;831.174;3.188.296;
12 - Industria del tabacco;325;1.922;529;2.776;
13 - Industria tessile;232.215;65.509;43.935;341.659;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;84.761;43.935;25.398;154.094;
15 - Fabbricazione di articoli in pelle e simili;263.659;212.803;47.639;524.101;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;976.338;88.682;91.737;1.156.757;
17 - Fabbricazione di carta e di prodotti in carta;886.325;470.616;116.968;1.473.909;
18 - Stampa e riproduzione di supporti registrati;286.597;56.865;42.466;385.928;
19 - Raffinerie petrolio, fabbricazione coke;237.644;31.883;195.364;464.891;
20 - Fabbricazione di prodotti chimici;1.009.020;649.034;211.268;1.869.322;
21 - Fabbricazione di prodotti farmaceutici di base e preparati;493.295;68.677;47.003;608.975;
22 - Industria gomma e materie plastiche;585.510;98.136;81.384;765.030;
23 - Industria minerali non metalliferi;2.236.791;521.566;276.621;3.034.978;
24 - Industria metallurgica;4.648.136;799.672;871.028;6.318.836;
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);2.690.385;313.164;360.117;3.363.666;
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;82.857;13.553;31.551;127.961;
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;275.537;44.413;35.747;355.697;
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;783.282;71.837;53.990;909.109;
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;354.652;57.112;154.031;565.795;
30 - Fabbricazione di altri mezzi di trasporto;62.811;19.878;38.717;121.406;
31 - Fabbricazione di mobili;436.140;126.438;22.322;584.900;
32 - Altre industrie manifatturiere;86.289;19.475;7.421;113.185;
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;132.442;17.353;31.148;180.943;
35 - Fornitura di energia elettrica, gas, vapore e aria;1.001.160;739.250;1.385.132;3.125.542;
36 - Raccolta, trattamento e fornitura di acqua;551.714;192.773;93.206;837.693;
37 - Gestione delle reti fognarie;1.959.379;1.016.504;767.792;3.743.675;
38 - Attivita' di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;17.627.614;7.053.009;9.477.734;34.158.357;
39 - Attivita' di risanamento e altri servizi di gestione dei rifiuti;346.041;57.034;1.333.584;1.736.659;
41, 42, 43 - Costruzioni;31.502.509;9.866.373;13.071.801;54.440.683;
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;1.060.799;430.432;631.294;2.122.525;
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);1.374.640;470.510;219.173;2.064.323;
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);96.881;18.492;51.795;167.168;
49 - Trasporto terrestre e trasporto mediante condotte;546.387;76.502;80.720;703.609;
50 - Trasporto marittimo e per vie d'acqua;47.614;899;5.604;54.117;
51 - Trasporto aereo;1.309;850;293;2.452;
52 - Magazzinaggio e attivita' di supporto ai trasporti;154.691;43.677;49.820;248.188;
53 - Servizi postali e attivita' di corriere;883;1.018;18;1.919;
55 - Alloggio;10.300;34.288;16.738;61.326;
56 - Attivita' dei servizi di ristorazione;13.980;4.230;6.437;24.647;
58 - Attivita' editoriali;14.486;4.109;5.983;24.578;
59 - Attivita' di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;553;1.073;86;1.712;
60 - Attivita' di programmazione e trasmissione;908;755;76;1.739;
61 - Telecomunicazioni;6.422;3.348;2.958;12.728;
62 - Produzione di software, consulenza informatica e attivita' connesse;4.474;821;256;5.551;
63 - Attivita' dei servizi d'informazione e altri servizi informatici;1.889;897;157;2.943;
64 - Attivita' di servizi finanziari (escluse le assicurazioni e i fondi pensione);1.677;2.406;732;4.815;
65 - Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie);723;216;4;943;
66 - Attivita' ausiliarie dei servizi finanziari e delle attivita' assicurative;79;81;24;184;
68 - Attivita' immobiliari;23.299;8.430;4.561;36.290;
69 - Attivita' legali e contabilita';134;130;17;281;
70 - Attivita' di direzione aziendale e di consulenza gestionale;4.401;2.374;671;7.446;
71 - Attivita' degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;14.339;2.292;2.943;19.574;
72 - Ricerca scientifica e sviluppo;34.520;12.708;863;48.091;
73 - Pubblicita' e ricerche di mercato;4.902;988;659;6.549;
74 - Altre attivita' professionali, scientifiche e tecniche;23.003;724;2.920;26.647;
75 - Servizi veterinari;1.245;242;1.470;2.957;
77 - Attivita' di noleggio e leasing operativo;15.731;3.011;1.621;20.363;
