regione;anno;non_pericolosi_t;pericolosi_t;totale_t
PIEMONTE;2019;13.600;18;13.618
LOMBARDIA;2019;71.326;1.422;72.748
TRENTINO ALTO ADIGE;2019;293;0;293
VENETO;2019;23.438;1.319;24.757
FRIULI VENEZIA GIULIA;2019;18.530;1;18.531
LIGURIA;2019;1.961;0;1.961
EMILIA ROMAGNA;2019;8.222;0;8.222
TOSCANA;2019;12.150;6;12.156
UMBRIA;2019;209;0;209
MARCHE;2019;4.190;0;4.190
LAZIO;2019;75;463;538
ABRUZZO;2019;450;0;450
MOLISE;2019;18;0;18
CAMPANIA;2019;34.065;2;34.067
PUGLIA;2019;1.036;0;1.036
BASILICATA;2019;0;183;183
CALABRIA;2019;1.848;0;1.848
SICILIA;2019;0;0;0
SARDEGNA;2019;32;0;32
Italia;2019;191.442;3.413;194.855
