regione;anno;non_pericolosi_t;pericolosi_t;totale_t
PIEMONTE;2018;18.575;0;18.575
LOMBARDIA;2018;72.558;718;73.276
TRENTINO ALTO ADIGE;2018;230;0;230
VENETO;2018;20.699;1.130;21.829
FRIULI VENEZIA GIULIA;2018;13.490;0;13.490
LIGURIA;2018;2.257;0;2.257
EMILIA ROMAGNA;2018;8.159;0;8.159
TOSCANA;2018;14.205;0;14.205
UMBRIA;2018;129;0;129
MARCHE;2018;4.035;0;4.035
LAZIO;2018;133;0;133
ABRUZZO;2018;233;0;233
CAMPANIA;2018;39.073;90;39.163
PUGLIA;2018;483;0;483
BASILICATA;2018;0;178;178
CALABRIA;2018;347;0;347
SICILIA;2018;134;8;142
SARDEGNA;2018;56;0;56
Italia;2018;194.795;2.124;196.919
