regione;anno;non_pericolosi_t;pericolosi_t;totale_t
PIEMONTE;2023;18.585;0;18.585
LOMBARDIA;2023;123.296;914;124.210
TRENTINO ALTO ADIGE;2023;142;0;142
VENETO;2023;9.942;1.468;11.410
FRIULI VENEZIA GIULIA;2023;27.381;0;27.381
LIGURIA;2023;43.117;0;43.117
EMILIA ROMAGNA;2023;6.557;1;6.558
TOSCANA;2023;13.444;0;13.444
UMBRIA;2023;19;0;19
MARCHE;2023;51;0;51
LAZIO;2023;184;0;184
CAMPANIA;2023;34.345;0;34.345
PUGLIA;2023;22.318;0;22.318
BASILICATA;2023;7;25;32
CALABRIA;2023;16.701;0;16.701
SICILIA;2023;98;0;98
SARDEGNA;2023;16;0;16
Italia;2023;316.202;2.408;318.611
