regione;anno;non_pericolosi_t;pericolosi_t;totale_t
PIEMONTE;2022;14.327;0;14.327
LOMBARDIA;2022;72.986;452;73.438
TRENTINO ALTO ADIGE;2022;123;0;123
VENETO;2022;22.221;1.272;23.493
FRIULI VENEZIA GIULIA;2022;24.042;1;24.044
LIGURIA;2022;27.867;0;27.867
EMILIA ROMAGNA;2022;2.015;2;2.016
TOSCANA;2022;12.555;0;12.555
MARCHE;2022;216;0;216
LAZIO;2022;1;0;1
ABRUZZO;2022;0;0;0
CAMPANIA;2022;33.079;0;33.079
PUGLIA;2022;64.584;0;64.584
BASILICATA;2022;235;177;412
CALABRIA;2022;19.440;0;19.440
SICILIA;2022;433;0;433
SARDEGNA;2022;1;0;1
Italia;2022;294.127;1.904;296.031
