regione;anno;non_pericolosi_t;pericolosi_t;totale_t
PIEMONTE;2021;11.118;0;11.118
LOMBARDIA;2021;39.508;863;40.370
TRENTINO ALTO ADIGE;2021;107;0;107
VENETO;2021;14.773;1.249;16.022
FRIULI VENEZIA GIULIA;2021;23.799;0;23.799
LIGURIA;2021;27.014;0;27.014
EMILIA ROMAGNA;2021;11.030;11;11.040
TOSCANA;2021;10.177;0;10.177
MARCHE;2021;2.209;0;2.209
LAZIO;2021;191;0;191
ABRUZZO;2021;96;0;96
CAMPANIA;2021;31.861;0;31.861
PUGLIA;2021;31.094;0;31.094
CALABRIA;2021;13.565;0;13.565
SICILIA;2021;344;218;561
SARDEGNA;2021;10;0;10
Italia;2021;216.895;2.340;219.235
