Quantitativi di rifiuti speciali importati per regione - 2023 (ISPRA);
	Regione;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
KUWAIT;2023;              44,8;               0,0;              44,8;
LETTONIA;2023;             568,2;               3,4;             571,6;
LIBANO;2023;             245,6;               0,0;             245,6;
LIBIA;2023;              89,3;               0,0;              89,3;
LIECHTENSTEIN;2023;           4.763,7;               0,0;           4.763,7;
LITUANIA;2023;           7.066,2;             203,1;           7.269,2;
LUSSEMBURGO;2023;           1.088,9;               0,0;           1.088,9;
MACEDONIA;2023;           1.118,1;               0,0;           1.118,1;
MALESIA;2023;             145,8;               0,0;             145,8;
MALTA;2023;           2.149,9;              57,2;           2.207,1;
MAROCCO;2023;           2.067,8;               0,0;           2.067,8;
MESSICO;2023;             583,8;               0,0;             583,8;
MOLDAVIA;2023;               1,7;               0,0;               1,7;
MONACO;2023;             215,3;               0,1;             215,4;
NIGERIA;2023;              83,6;              25,6;             109,2;
NORVEGIA;2023;              51,0;               0,0;              51,0;
NUOVA ZELANDA;2023;             253,6;               0,0;             253,6;
OMAN;2023;             243,4;               0,0;             243,4;
PAESI BASSI;2023;          72.547,8;           4.729,7;          77.277,5;
PAKISTAN;2023;             392,6;               0,0;             392,6;
PANAMA;2023;             113,2;               0,4;             113,6;
PERu;2023;             500,4;               0,0;             500,4;
POLINESIA FRANCESE;2023;              59,5;               0,0;              59,5;
POLONIA;2023;          70.552,7;           2.207,6;          72.760,2;
PORTOGALLO;2023;           2.177,2;               8,5;           2.185,7;
QATAR;2023;              76,9;               0,0;              76,9;
REGNO UNITO;2023;          43.764,2;           7.820,4;          51.584,6;
REPUBBLICA CECA;2023;         485.716,5;               0,0;         485.716,5;
REPUBBLICA CENTROAFRICANA;2023;             235,8;               0,0;             235,8;
REPUBBLICA DEL CONGO;2023;             253,3;               0,0;             253,3;
REPUBBLICA DOMINICANA;2023;              55,2;               0,0;              55,2;
ROMANIA;2023;          49.387,8;              35,9;          49.423,7;
SAINT VINCENT E GRENADINE;2023;               0,0;               0,0;               0,0;
SENEGAL;2023;             135,3;               0,0;             135,3;
SERBIA E MONTENEGRO;2023;          29.409,1;               0,0;          29.409,1;
SIERRA LEONE;2023;               0,0;               0,1;               0,1;
SINGAPORE;2023;           4.735,0;               0,0;           4.735,0;
SLOVACCHIA;2023;         106.889,1;               0,0;         106.889,1;
SLOVENIA;2023;         615.981,2;              35,6;         616.016,7;
SOMALIA;2023;              51,9;               0,0;              51,9;
SPAGNA;2023;          48.339,2;          26.268,7;          74.607,9;
SUD AFRICA;2023;             801,5;               0,0;             801,5;
SVEZIA;2023;           9.941,3;              16,7;           9.958,1;
SVIZZERA;2023;       1.032.564,5;          17.349,0;       1.049.913,5;
TAGIKISTAN;2023;             601,5;               0,0;             601,5;
TAIWAN;2023;              57,3;               0,0;              57,3;
THAILANDIA;2023;             191,5;               0,0;             191,5;
TUNISIA;2023;           5.811,4;               0,0;           5.811,4;
TURCHIA;2023;          96.416,5;               0,2;          96.416,7;
UCRAINA;2023;             636,5;               0,0;             636,5;
UNGHERIA;2023;         297.190,8;               0,6;         297.191,4;
URUGUAY;2023;             139,0;               0,0;             139,0;
USA;2023;         105.810,5;             114,7;         105.925,2;
VANUATU;2023;               0,0;               0,0;               0,0;
VENEZUELA;2023;              18,1;               0,0;              18,1;
VIETNAM;2023;               3,4;               0,0;               3,4;
YEMEN;2023;              18,1;               0,0;              18,1;
TOTALE;;       6.725.380,0;         101.391,6;       6.826.771,5;
		
Andamento delle importazioni di rifiuti speciali (ISPRA);
	Anno;Quantitativo (t)
2023;       6.826.771,5;
2022;       6.873.301,2;
2021;       7.367.198,7;
2020;       6.747.816,6;
2019;       7.073.133,0;
2018;       7.304.279,1;

