
	Gestione nazionale dei rifiuti urbani - anno 2023 (ISPRA);
	Compostaggio
	Area geografica;Numero impianti;Frazione umida (t);Verde (t);Tot. RU (t);Fanghi (t);Altro (t);Totale (t)
Nord;166;         211.568,0;       1.000.676,0;       1.212.244,0;         273.241,0;         260.147,0;       1.745.632,0;
Centro;33;         142.842,0;         173.632,0;         316.474,0;          52.606,0;          35.294,0;         404.374,0;
Sud;76;         862.275,0;         154.559,0;       1.016.834,0;         204.426,0;          36.702,0;       1.257.962,0;
Italia;275;       1.216.685,0;       1.328.867,0;       2.545.552,0;         530.273,0;         332.143,0;       3.407.968,0;

	Trattamento integrato aerobico e anaerobico
	Area geografica;Numero impianti;Frazione umida (t);Verde (t);Tot. RU (t);Fanghi (t);Altro (t);Totale (t)
Nord;38;       2.687.582,0;         448.823,0;       3.136.405,0;         134.453,0;         171.868,0;       3.442.726,0;
Centro;10;         325.901,0;          91.141,0;         417.042,0;          28.539,0;           4.373,0;         449.954,0;
Sud;13;         343.535,0;          25.526,0;         369.061,0;          14.883,0;          72.181,0;         456.125,0;
Italia;61;       3.357.018,0;         565.490,0;       3.922.508,0;         177.875,0;         248.422,0;       4.348.805,0;

	Digestione anaerobica
	Area geografica;Numero impianti;Frazione organica RU (t);Fanghi (t);Altro (t);Totale (t)
Nord;23;         340.496,0;         488.387,0;          66.811,0;         895.694,0;
Centro;2;          28.681,0;               0,0;           1.340,0;          30.021,0;
Sud;2;          63.675,0;               0,0;               0,0;          63.675,0;
Italia;27;         432.852,0;         488.387,0;          68.151,0;         989.390,0;

	Trattamento meccanico biologico (TMB)
	Area geografica;Numero impianti;RU indiff. (t);Rif. da trattamento RU (t);Altri RU (t);Tot. RU e tratt. RU (t) ;RS(t)
Nord;41;       1.237.919,0;         292.047,0;          72.553,0;       1.602.519,0;         151.845,0;
Centro;40;       2.174.236,0;         250.296,0;          50.418,0;       2.474.950,0;         111.450,0;
Sud;53;       3.593.038,0;         924.403,0;          43.542,0;       4.560.983,0;          28.862,0;
Italia;134;       7.005.193,0;       1.466.746,0;         166.513,0;       8.638.452,0;         292.157,0;

	Incenerimento
	Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t) ;RS non pericolosi(t);RS pericolosi(t)
Nord;25;       2.554.307,0;       1.458.351,0;       4.012.658,0;         617.608,0;          35.782,0;
Centro;5;          79.541,0;         424.372,0;         503.913,0;           1.300,0;               7,0;
Sud;6;          55.937,0;         947.753,0;       1.003.690,0;          28.778,0;          29.748,0;
Italia;36;       2.689.785,0;       2.830.476,0;       5.520.261,0;         647.686,0;          65.537,0;

	Coincenerimento
	Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t);Da trattmento RS (t);RS non pericolosi(t);RS pericolosi(t)
Nord;7;               0,0;         218.712,0;         218.712,0;               0,0;         193.955,0;          13.466,0;
Centro;1;               0,0;           2.030,0;           2.030,0;               0,0;          29.345,0;               0,0;
Sud;3;               0,0;         157.779,0;         157.779,0;               0,0;           6.188,0;               0,0;
Italia;11;               0,0;         378.521,0;         378.521,0;               0,0;         229.488,0;          13.466,0;

	Smaltimento in discarica
	Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t) ;RS (t)
Nord;49;         202.418,0;       1.109.700,0;       1.312.118,0;       1.150.906,2;
Centro;24;          50.227,2;       1.466.159,3;       1.516.386,5;         581.785,3;
Sud;39;          34.730,2;       1.735.353,1;       1.770.083,3;         237.080,6;
Italia;112;         287.375,5;       4.311.212,3;       4.598.587,8;       1.969.772,1;

	Andamento del numero di impianti per tipologia
	Anno;Compostaggio (n.);Tratt. integrato (n.);Dig. anaerobica (n.);TMB (n.);Incenerimento (n.);Coincenerimento (n.);Discarica (n.); Totale (n.)
	2023;275;61;27;134;36;11;112;656;
2022;285;51;22;132;36;11;117;654;
2021;293;42;21;124;37;14;126;657;
2020;293;43;23;135;37;14;131;676;
2019;281;41;23;132;37;13;131;658;
2018;281;35;23;131;38;11;127;646;
2017;285;31;24;130;39;12;123;644;
2016;274;31;21;130;41;12;134;643;
2015;263;26;20;118;41;17;149;634;
