Quantitativi di rifiuti speciali importati per regione - 2022 (ISPRA);
	Regione;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
PANAMA;2022;             271,4;               0,2;             271,6;
PERU;2022;             598,3;               0,0;             598,3;
POLONIA;2022;         118.912,7;             733,6;         119.646,3;
PORTO RICO;2022;              33,5;               0,0;              33,5;
PORTOGALLO;2022;           2.173,5;              14,4;           2.187,9;
QATAR;2022;              98,9;               0,0;              98,9;
REGNO UNITO;2022;          40.460,1;          12.341,2;          52.801,3;
REPUBBLICA CECA;2022;         428.501,0;               0,0;         428.501,0;
REPUBBLICA DEL CONGO;2022;           1.065,7;               0,0;           1.065,7;
REPUBBLICA DOMINICANA;2022;             239,9;               0,0;             239,9;
ROMANIA;2022;          69.483,4;             105,2;          69.588,6;
SAINT VINCENT E GRENADINE;2022;               0,0;               0,1;               0,1;
SENEGAL;2022;             335,0;               0,0;             335,0;
SERBIA E MONTENEGRO;2022;          24.880,9;              31,0;          24.911,9;
SEYCHELLES;2022;              37,7;               0,0;              37,7;
SINGAPORE;2022;           5.714,6;               0,0;           5.714,6;
SLOVACCHIA;2022;          99.928,5;               0,0;          99.928,5;
SLOVENIA;2022;         628.564,4;              39,6;         628.604,0;
SOMALIA;2022;              20,2;               0,0;              20,2;
SPAGNA;2022;          50.299,5;          28.313,8;          78.613,2;
SUD AFRICA;2022;              54,1;               0,0;              54,1;
SUDAN;2022;             466,9;               0,0;             466,9;
SVEZIA;2022;          10.796,5;               8,0;          10.804,5;
SVIZZERA;2022;         974.396,6;          12.021,1;         986.417,7;
TAIWAN;2022;               3,2;               0,0;               3,2;
THAILANDIA;2022;             108,0;               0,0;             108,0;
TOGO;2022;             285,7;               0,1;             285,8;
TUNISIA;2022;           9.460,2;               0,0;           9.460,2;
TURCHIA;2022;             924,1;               0,1;             924,1;
UCRAINA;2022;           1.061,2;               0,0;           1.061,2;
UNGHERIA;2022;         400.193,5;               0,0;         400.193,5;
URUGUAY;2022;              26,8;               0,0;              26,8;
USA;2022;          43.356,7;              83,3;          43.440,0;
VANUATU;2022;               0,0;               0,1;               0,1;
VENEZUELA;2022;             110,5;               0,0;             110,5;
VIETNAM;2022;               3,3;               0,0;               3,3;
YEMEN;2022;           1.929,9;               0,0;           1.929,9;
ZAMBIA;2022;               0,1;               0,0;               0,1;
TOTALE;;       6.767.147,0;         106.154,2;       6.873.301,2;
		
Andamento delle importazioni di rifiuti speciali (ISPRA);
	Anno;Quantitativo (t)
2022;       6.873.301,2;
2021;       7.367.198,7;
2020;       6.747.816,6;
2019;       7.073.133,0;
2018;       7.304.279,1;

