
	Gestione nazionale dei rifiuti urbani - anno 2022 (ISPRA);
	Compostaggio
	Area geografica;Numero impianti;Frazione umida (t);Verde (t);Tot. RU (t);Fanghi (t);Altro (t);Totale (t)
Nord;172;         362.511,0;         918.790,0;       1.281.301,0;         288.945,0;         231.205,0;       1.801.451,0;
Centro;37;         280.442,0;         177.547,0;         457.989,0;          61.046,0;          38.744,0;         557.779,0;
Sud;76;       1.081.189,0;         135.561,0;       1.216.750,0;         182.723,0;          52.778,0;       1.452.251,0;
Italia;285;       1.724.142,0;       1.231.898,0;       2.956.040,0;         532.714,0;         322.727,0;       3.811.481,0;

	Trattamento integrato aerobico e anaerobico
	Area geografica;Numero impianti;Frazione umida (t);Verde (t);Tot. RU (t);Fanghi (t);Altro (t);Totale (t)
Nord;34;       2.496.454,0;         314.283,0;       2.810.737,0;          75.032,0;         103.185,0;       2.988.954,0;
Centro;8;         221.562,0;          67.376,0;         288.938,0;          31.266,0;           4.163,0;         324.367,0;
Sud;9;         258.053,0;          21.744,0;         279.797,0;          17.879,0;          48.136,0;         345.812,0;
Italia;51;       2.976.069,0;         403.403,0;       3.379.472,0;         124.177,0;         155.484,0;       3.659.133,0;

	Digestione anaerobica
	Area geografica;Numero impianti;Frazione organica RU (t);Fanghi (t);Altro (t);Totale (t)
Nord;19;         248.408,0;         533.782,0;          35.108,0;         817.298,0;
Centro;1;          12.597,0;               0,0;               0,0;          12.597,0;
Sud;2;          54.143,0;               0,0;               0,0;          54.143,0;
Italia;22;         315.148,0;         533.782,0;          35.108,0;         884.038,0;

	Trattamento meccanico biologico (TMB)
	Area geografica;Numero impianti;RU indiff. (t);Rif. da trattamento RU (t);Altri RU (t);Tot. RU e tratt. RU (t) ;RS(t)
Nord;41;       1.296.191,0;         352.223,0;          83.743,0;       1.732.157,0;         171.167,0;
Centro;40;       2.224.658,0;         174.992,0;          66.107,0;       2.465.757,0;         102.289,0;
Sud;51;       3.608.542,0;         601.745,0;          37.916,0;       4.248.203,0;          25.515,0;
Italia;132;       7.129.391,0;       1.128.960,0;         187.766,0;       8.446.117,0;         298.971,0;

	Incenerimento
	Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t) ;RS non pericolosi(t);RS pericolosi(t)
Nord;25;       2.529.239,2;       1.260.321,8;       3.789.561,0;         633.959,7;          38.967,7;
Centro;5;          77.537,6;         426.275,4;         503.813,0;           1.164,0;              13,6;
Sud;6;          69.326,5;         944.475,8;       1.013.802,3;          10.787,3;          26.550,7;
Italia;36;       2.676.103,3;       2.631.073,0;       5.307.176,3;         645.911,0;          65.532,0;

	Coincenerimento
	Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t);Da trattmento RS (t);RS non pericolosi(t);RS pericolosi(t)
Nord;7;          13.088,0;         180.546,0;         193.634,0;         129.733,0;               0,0;               0,0;
Centro;1;               0,0;           7.364,0;           7.364,0;               0,0;               0,0;               0,0;
Sud;3;               0,0;         133.244,0;         133.244,0;               1,0;               0,0;               0,0;
Italia;11;          13.088,0;         321.154,0;         334.242,0;         129.734,0;               0,0;               0,0;

	Smaltimento in discarica
	Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t) ;RS (t)
Nord;50;         201.952,8;       1.196.038,0;       1.397.990,9;       1.314.595,9;
Centro;25;          45.239,4;       1.709.435,6;       1.754.675,0;         713.000,1;
Sud;42;          62.220,7;       1.943.139,2;       2.005.359,8;         441.373,4;
Italia;117;         309.412,9;       4.848.612,8;       5.158.025,6;       2.468.969,4;

	Andamento del numero di impianti per tipologia
	Anno;Compostaggio (n.);Tratt. integrato (n.);Dig. anaerobica (n.);TMB (n.);Incenerimento (n.);Coincenerimento (n.);Discarica (n.); Totale (n.)
	2022;285;51;22;132;36;11;117;654;
2021;293;42;21;124;37;14;126;657;
2020;293;43;23;135;37;14;131;676;
2019;281;41;23;132;37;13;131;658;
2018;281;35;23;131;38;11;127;646;
2017;285;31;24;130;39;12;123;644;
2016;274;31;21;130;41;12;134;643;
2015;263;26;20;118;41;17;149;634;
