regione;anno;quantita_t
Piemonte;2021;79.739
Valle d'Aosta;2021;14.101
Lombardia;2021;37.932
Trentino-Alto Adige;2021;28.895
Veneto;2021;155.329
Friuli-Venezia Giulia;2021;12.938
Liguria;2021;74.948
Emilia-Romagna;2021;138.246
Toscana;2021;215.220
Umbria;2021;26.636
Marche;2021;94.856
Lazio;2021;285.166
Abruzzo;2021;44.762
Molise;2021;1.716
Campania;2021;490.186
Puglia;2021;149.766
Basilicata;2021;44.075
Calabria;2021;2.656
Sicilia;2021;91.066
Sardegna;2021;0
Italia;2021;1.988.233
