regione;anno;quantita_t
Piemonte;2024;89.948
Valle d'Aosta;2024;16.086
Lombardia;2024;119.542
Trentino-Alto Adige;2024;35.632
Veneto;2024;189.726
Friuli-Venezia Giulia;2024;4.608
Liguria;2024;82.893
Emilia-Romagna;2024;130.123
Toscana;2024;209.833
Umbria;2024;24.580
Marche;2024;83.413
Lazio;2024;302.575
Abruzzo;2024;53.487
Molise;2024;307
Campania;2024;544.090
Puglia;2024;48.973
Basilicata;2024;37.646
Calabria;2024;10.297
Sicilia;2024;128.676
Sardegna;2024;0
Italia;2024;2.112.435
