regione;anno;quantita_t
Piemonte;2018;69.620
Valle d'Aosta;2018;11.745
Lombardia;2018;31.945
Trentino-Alto Adige;2018;41.024
Veneto;2018;134.428
Friuli-Venezia Giulia;2018;11.452
Liguria;2018;74.552
Emilia-Romagna;2018;136.473
Toscana;2018;156.646
Umbria;2018;40.033
Marche;2018;93.731
Lazio;2018;270.112
Abruzzo;2018;50.363
Molise;2018;1
Campania;2018;486.593
Puglia;2018;32.697
Basilicata;2018;22.633
Calabria;2018;5.952
Sicilia;2018;462
Sardegna;2018;0
Italia;2018;1.670.462
