regione;anno;non_pericolosi_t;pericolosi_t;totale_t
PIEMONTE;2024;174.058;7.399;181.458
LOMBARDIA;2024;3.459.703;43.230;3.502.933
TRENTINO ALTO ADIGE;2024;137.035;0;137.035
VENETO;2024;784.144;559;784.704
FRIULI VENEZIA GIULIA;2024;1.870.573;0;1.870.573
LIGURIA;2024;26.084;144;26.228
EMILIA ROMAGNA;2024;306.876;64;306.941
TOSCANA;2024;35.509;2.715;38.223
UMBRIA;2024;18.805;0;18.805
MARCHE;2024;52.226;94;52.321
LAZIO;2024;8.018;88;8.106
ABRUZZO;2024;2.051;1;2.051
CAMPANIA;2024;12.621;5;12.626
PUGLIA;2024;3.310;41;3.351
BASILICATA;2024;15.904;0;15.904
CALABRIA;2024;18.385;0;18.385
SICILIA;2024;42;227;269
SARDEGNA;2024;3.144;60.704;63.848
Italia;2024;6.928.488;115.273;7.043.761
