regione;anno;non_pericolosi_t;pericolosi_t;totale_t
PIEMONTE;2018;190.144;11.641;201.785
LOMBARDIA;2018;4.022.566;15.043;4.037.608
TRENTINO ALTO ADIGE;2018;139.714;1;139.715
VENETO;2018;419.406;16;419.422
FRIULI VENEZIA GIULIA;2018;2.013.320;427;2.013.748
LIGURIA;2018;21.676;6;21.682
EMILIA ROMAGNA;2018;299.955;139;300.094
TOSCANA;2018;18.785;2.142;20.927
UMBRIA;2018;0;102;102
MARCHE;2018;44.748;73;44.820
LAZIO;2018;1.908;0;1.908
ABRUZZO;2018;1.757;15;1.772
CAMPANIA;2018;7.841;275;8.116
PUGLIA;2018;380;1;381
BASILICATA;2018;239;0;239
CALABRIA;2018;3.872;34;3.906
SICILIA;2018;3.749;367;4.116
SARDEGNA;2018;113;83.824;83.937
Italia;2018;7.190.173;114.106;7.304.279
