regione;anno;non_pericolosi_t;pericolosi_t;totale_t
PIEMONTE;2019;186.273;10.663;196.936
VALLE D'AOSTA;2019;13;0;13
LOMBARDIA;2019;3.890.823;23.678;3.914.501
TRENTINO ALTO ADIGE;2019;148.240;1;148.241
VENETO;2019;367.307;306;367.613
FRIULI VENEZIA GIULIA;2019;1.928.200;107;1.928.307
LIGURIA;2019;28.222;0;28.222
EMILIA ROMAGNA;2019;317.340;276;317.615
TOSCANA;2019;22.221;2.263;24.484
UMBRIA;2019;585;0;585
MARCHE;2019;52.176;24;52.200
LAZIO;2019;3.228;0;3.228
ABRUZZO;2019;3.548;0;3.548
CAMPANIA;2019;9.961;16;9.977
PUGLIA;2019;369;0;369
BASILICATA;2019;9.035;0;9.035
CALABRIA;2019;25;12;38
SICILIA;2019;0;221;221
SARDEGNA;2019;18;67.983;68.001
Italia;2019;6.967.582;105.551;7.073.133
