

		Costi comunali per chilogrammo di rifiuto - Regione Italia - anno 2019 (ISPRA)
		(i dati sui costi sono espressi in (Eurocent/kg*anno));
		IstatComune;Comune o Aggregazione;Provincia;Numero di comuni;Pop.(abitanti);CRTkg;CTSkg;CACkg;CGINDkg;CRDkg;CTRkg;CGDkg;CSLkg;CCkg;CKkg;CTOTkg
11042007;Camerata Picena;Ancona;1   ;           2.550;              10,18;              17,20;               1,19;              28,57;              14,58;               5,83;              20,41;               3,08;               3,13;               2,79;              31,56;
11042011;Castelleone di Suasa;Ancona;1   ;           1.589;              54,25;;;              54,80;               1,60;               7,38;               8,98;               4,92;;;              29,73;
11042015;Corinaldo;Ancona;1   ;           4.900;              22,40;              14,17;;              36,56;              25,96;               5,05;              31,01;               2,63;               1,18;;              36,75;
11042018;Falconara Marittima;Ancona;1   ;          25.780;              25,25;              14,53;;              39,78;              10,91;               4,84;              15,75;               5,01;               3,84;               4,12;              37,15;
11042021;Jesi;Ancona;1   ;          39.579;               6,63;              17,40;;              24,03;               8,60;               6,00;              14,60;               4,15;               1,20;;              23,54;
11042022;Loreto;Ancona;Vedi aggregazione: COSMARI;
11042033;Offagna;Ancona;1   ;           2.036;              11,87;              17,38;;              29,26;              12,45;               7,48;              19,93;               2,44;               5,86;               2,97;              33,50;
11042034;Osimo;Ancona;1   ;          34.847;              13,27;              13,76;              10,05;              37,08;              14,02;               2,02;              16,04;               3,63;               3,93;               2,57;              31,29;
11042035;Ostra;Ancona;1   ;           6.543;               7,13;              14,59;              10,94;              32,66;               8,42;               4,60;              13,02;               2,43;               5,31;               3,35;              30,45;
11042036;Ostra Vetere;Ancona;1   ;           3.213;              12,10;              12,21;              11,48;              35,78;              16,06;               3,84;              19,91;               3,83;               6,54;               3,92;              38,90;
11042038;Polverigi;Ancona;1   ;           4.625;              10,98;              10,33;;              21,32;              12,86;               8,31;              21,17;               3,85;               2,99;               3,76;              31,81;
11042043;Santa Maria Nuova;Ancona;1   ;           4.130;              11,32;;              11,31;              22,63;              12,62;               8,80;              21,42;               3,35;               4,48;               3,11;              32,67;
11042046;Serra de' Conti;Ancona;1   ;           3.715;              34,51;              12,81;;              47,77;               4,82;               4,62;               9,45;               2,31;               3,49;               2,63;              26,00;
11042050;Trecastelli;Ancona;1   ;           7.565;              51,31;              12,86;;              64,37;;               5,13;               6,08;;               2,26;               4,54;              32,19;
02007001;Allein;Aosta;Vedi aggregazione: CM3: Grand Combin;
02007002;Antey-Saint-Andre;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007003;Aosta;Aosta;1   ;          33.916;               9,25;              14,82;;              24,07;              20,07;               5,02;              25,09;              13,39;               1,27;;              39,43;
02007004;Arnad;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007005;Arvier;Aosta;Vedi aggregazione: CM2: Grand Paradis;
02007006;Avise;Aosta;Vedi aggregazione: CM2: Grand Paradis;
02007007;Ayas;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007008;Aymavilles;Aosta;Vedi aggregazione: CM2: Grand Paradis;
02007009;Bard;Aosta;Vedi aggregazione: UNITE DES COMMUNES VALDOTAINES MONT-ROSE;
02007010;Bionaz;Aosta;Vedi aggregazione: CM3: Grand Combin;
02007011;Brissogne;Aosta;Vedi aggregazione: CM4: Mont Emilius;
02007012;Brusson;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007013;Challand-Saint-Anselme;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007014;Challand-Saint-Victor;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007015;Chambave;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007016;Chamois;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007017;Champdepraz;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007018;Champorcher;Aosta;Vedi aggregazione: UNITE DES COMMUNES VALDOTAINES MONT-ROSE;
02007019;Charvensod;Aosta;Vedi aggregazione: CM4: Mont Emilius;
02007020;Chatillon - Dato aggregazione SUB-ATO D "EVANCON-MONT CERVIN";Aosta;21  ;          27.408;              21,11;              24,02;;              46,08;              22,93;;              22,93;               3,13;               9,25;;              42,80;
02007021;Cogne;Aosta;Vedi aggregazione: CM2: Grand Paradis;
02007022;Courmayeur;Aosta;Vedi aggregazione: CM1: Valdigne - Mont Blanc;
02007023;Donnas;Aosta;Vedi aggregazione: UNITE DES COMMUNES VALDOTAINES MONT-ROSE;
02007024;Doues;Aosta;Vedi aggregazione: CM3: Grand Combin;
02007025;Emarese;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007026;Etroubles;Aosta;Vedi aggregazione: CM3: Grand Combin;
