	Dati di sintesi della produzione dei rifiuti speciali - 2019 (ISPRA);
	Area geografica;RS NP (t);RS P (t);RS codice CER ND (t);Totale (t);
77 - Attivita' di noleggio e leasing operativo;          16.234;           5.740;           2.050;          24.024;
78 - Attivita' di ricerca, selezione, fornitura di personale;               7;-;              20;              27;
79 - Attivita' dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attivita' connesse;              74;              37;              44;             155;
80 - Servizi di vigilanza e investigazione;             177;             773;             101;           1.051;
81 - Attivita' di servizi per edifici e paesaggio;          74.901;          38.265;          42.794;         155.960;
82 - Attivita' di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;          58.872;          16.417;          22.886;          98.175;
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;          42.165;          14.034;          20.554;          76.753;
85 - Istruzione;           2.144;           2.536;             923;           5.603;
86, 87, 88 - Sanita' e assistenza sociale;          95.571;          39.394;          52.135;         187.100;
90 - Attivita' creative, artistiche e di intrattenimento;           1.441;             779;           3.486;           5.706;
91 - Attivita' di biblioteche, archivi, musei ed altre attivita' culturali;             693;             638;             108;           1.439;
92 - Attivita' riguardanti le lotterie, le scommesse, le case da gioco;             877;             461;             124;           1.462;
93 - Attivita' sportive, di intrattenimento e di divertimento;           5.470;             632;           2.371;           8.473;
94 - Attivita' di organizzazioni associative;           1.968;             320;             721;           3.009;
95 - Riparazione di computer e di beni per uso personale e per la casa;           3.476;             892;             108;           4.476;
96 - Altre attivita' di servizi per la persona;          20.089;           5.572;           5.480;          31.141;
97 - Attivita' di famiglie e convivenze come datori di lavoro per personale domestico;              25;-;-;              25;
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze;             172;               2;               2;             176;
99 - Organizzazioni ed organismi extraterritoriali;               7;             144;             279;             430;
ND - Attivita' ISTAT non determinata;           4.447;             145;           1.146;           5.738;
Totale;      88.646.789;      26.996.238;      38.331.297;     153.974.324;

Produzione dei rifiuti speciali non pericolosi per attivita' economica - 2019 (ISPRA);
		Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
		01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;         238.103;          25.290;          38.817;         302.210;
02 - Silvicoltura ed utilizzo di aree forestali;           3.921;             482;              57;           4.460;
03 - Pesca e acquacoltura;             989;             209;           1.222;           2.420;
05 - Estrazione di carbone (esclusa torba);              54;               6;-;              60;
06 - Estrazione di petrolio greggio e di gas naturale;          66.619;          20.285;       1.055.451;       1.142.355;
07 - Estrazione di minerali metalliferi;-;             247;             124;             371;
08 - Altre attivita' di estrazione di minerali da cave e miniere;          48.327;          60.488;           5.642;         114.457;
09 - Attivita' dei servizi di supporto all'estrazione;         180.372;           1.460;           1.129;         182.961;
10, 11 - Industria alimentare e delle bevande;       1.950.646;         461.773;         949.834;       3.362.253;
12 - Industria del tabacco;          14.699;           2.055;             445;          17.199;
13 - Industria tessile;         203.496;          73.635;          36.352;         313.483;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;          61.315;          37.865;          23.537;         122.717;
15 - Fabbricazione di articoli in pelle e simili;         271.617;         211.985;          44.691;         528.293;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;       1.106.895;          80.596;          97.051;       1.284.542;
17 - Fabbricazione di carta e di prodotti in carta;         877.543;         458.975;         166.416;       1.502.934;
18 - Stampa e riproduzione di supporti registrati;         289.218;          58.729;          30.706;         378.653;
