
	Gestione nazionale dei rifiuti urbani - anno 2019 (ISPRA);
	Compostaggio
	Area geografica;Numero impianti;Frazione umida (t);Verde (t);Tot. RU (t);Fanghi (t);Altro (t);Totale (t)
Nord;172;         462.491,0;       1.083.583,1;       1.546.074,1;         243.141,0;         253.672,0;       2.042.887,1;
Centro;42;         295.129,0;         194.564,0;         489.693,0;          56.125,0;          59.060,0;         604.878,0;
Sud;67;         961.914,0;         143.269,0;       1.105.183,0;         147.899,0;          38.178,0;       1.291.260,0;
Italia;281;       1.719.534,0;       1.421.416,1;       3.140.950,1;         447.165,0;         350.910,0;       3.939.025,1;

	Trattamento integrato aerobico e anaerobico
	Area geografica;Numero impianti;Frazione umida (t);Verde (t);Tot. RU (t);Fanghi (t);Altro (t);Totale (t)
Nord;29;       2.215.068,0;         311.482,0;       2.526.550,0;          66.989,0;         135.106,0;       2.728.645,0;
Centro;6;         137.455,0;          38.820,0;         176.275,0;           4.154,0;             818,0;         181.247,0;
Sud;6;         194.012,0;          21.184,0;         215.196,0;               0,0;             495,0;         215.691,0;
Italia;41;       2.546.535,0;         371.486,0;       2.918.021,0;          71.143,0;         136.419,0;       3.125.583,0;

	Digestione anaerobica
	Area geografica;Numero impianti;Frazione organica RU (t);Fanghi (t);Altro (t);Totale (t)
Nord;21;         300.944,0;         442.236,0;          49.054,0;         792.234,0;
Sud;2;          27.355,0;           8.132,0;          49.439,0;          84.926,0;
Italia;23;         328.299,0;         450.368,0;          98.493,0;         877.160,0;

	Trattamento meccanico biologico (TMB)
	Area geografica;Numero impianti;RU indiff. (t);Rif. da trattamento RU (t);Altri RU (t);Tot. RU e tratt. RU (t) ;RS(t)
Nord;44;       1.791.021,0;         438.068,0;         156.444,0;       2.385.533,0;         102.984,0;
Centro;37;       2.608.045,0;         203.400,0;         266.542,0;       3.077.987,0;         104.328,0;
Sud;51;       4.103.236,0;         717.065,0;          97.428,0;       4.917.729,0;           5.793,0;
Italia;132;       8.502.302,0;       1.358.533,0;         520.414,0;      10.381.249,0;         213.105,0;

	Incenerimento
	Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t) ;RS non pericolosi(t);RS pericolosi(t)
Nord;26;       2.514.485,0;       1.391.238,0;       3.905.723,0;         661.807,0;          29.114,0;
Centro;5;          83.823,0;         482.888,0;         566.711,0;           2.017,0;           2.330,0;
Sud;6;          97.124,0;         952.092,0;       1.049.216,0;          53.780,0;          26.748,0;
Italia;37;       2.695.432,0;       2.826.218,0;       5.521.650,0;         717.604,0;          58.192,0;

	Coincenerimento
	Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t);Da trattmento RS (t);RS non pericolosi(t);RS pericolosi(t)
Nord;8;               0,0;         209.942,0;         209.942,0;               0,0;         207.601,0;          14.860,0;
Centro;1;               0,0;           5.734,0;           5.734,0;               0,0;          24.530,0;               0,0;
Sud;4;               0,0;         151.689,0;         151.689,0;               0,0;          37.951,0;               0,0;
Italia;13;               0,0;         367.365,0;         367.365,0;               0,0;         270.082,0;          14.860,0;

	Smaltimento in discarica
	Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t) ;RS (t)
Nord;54;         172.094,0;       1.354.929,0;       1.527.023,0;       1.717.041,0;
Centro;30;          51.452,0;       1.858.540,0;       1.909.992,0;         763.391,0;
Sud;47;          63.666,0;       2.782.626,0;       2.846.292,0;         775.867,5;
Italia;131;         287.212,0;       5.996.095,0;       6.283.307,0;       3.256.299,5;

	Andamento del numero di impianti per tipologia
	Anno;Compostaggio (n.);Tratt. integrato (n.);Dig. anaerobica (n.);TMB (n.);Incenerimento (n.);Coincenerimento (n.);Discarica (n.); Totale (n.)
	2019;281;41;23;132;37;13;131;658;
2018;281;35;23;131;38;11;127;646;
2017;285;31;24;130;39;12;123;644;
2016;274;31;21;130;41;12;134;643;
2015;263;26;20;118;41;17;149;634;
