Quantitativi di frazione organica avviati fuori regione - 2019 (ISPRA);
	Regione;Anno;Quantitativo (t)
Piemonte;2019;         101.546;
Valle d'Aosta;2019;          12.882;
Lombardia;2019;          29.383;
Trentino-Alto Adige;2019;          37.394;
Veneto;2019;         163.167;
Friuli-Venezia Giulia;2019;          11.246;
Liguria;2019;          77.869;
Emilia-Romagna;2019;         109.601;
Toscana;2019;         212.171;
Umbria;2019;          25.443;
Marche;2019;          97.974;
Lazio;2019;         245.156;
Abruzzo;2019;          41.776;
Molise;2019;               0;
Campania;2019;         424.597;
Puglia;2019;          71.481;
Basilicata;2019;          30.665;
Calabria;2019;               1;
Sicilia;2019;           2.665;
Sardegna;2019;               2;
Italia;2019;       1.695.019;

Andamento del totale dei flussi extraregionali della frazione organica (ISPRA);
	Anno;Quantitativo (t)
2019;       1.695.019;
2018;       1.670.462;
		
Quantitativi di rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a incenerimento fuori regione, - 2019 (ISPRA);
	Regione;Anno;Quantitativo (t)

Andamento del totale dei flussi extraregionali dei rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a incenerimento (ISPRA);
	Anno;Quantitativo (t)

Quantitativi di rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a discarica fuori regione, - 2019 (ISPRA);
	Regione;Anno;Quantitativo (t)
Piemonte;2019;          51.480,3;
Valle d'Aosta;2019;               0,0;
Lombardia;2019;          57.478,2;
Trentino-Alto Adige;2019;             242,4;
Veneto;2019;          13.060,4;
Friuli-Venezia Giulia;2019;             236,9;
Liguria;2019;           9.984,3;
Emilia-Romagna;2019;          54.742,0;
Toscana;2019;          14.392,9;
Umbria;2019;           3.240,9;
Marche;2019;               0,0;
Lazio;2019;          84.441,3;
Abruzzo;2019;          54.643,3;
Molise;2019;             392,7;
Campania;2019;           9.903,5;
Puglia;2019;           6.737,6;
Basilicata;2019;              35,0;
Calabria;2019;           5.980,3;
Sicilia;2019;               0,0;
Sardegna;2019;               0,0;
Italia;2019;         366.991,7;

		

Andamento del totale dei flussi extraregionali dei rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a discarica (ISPRA);
	Anno;Quantitativo (t)
2019;         366.991,7;
2018;         557.055,1;

