	Dati di sintesi della produzione dei rifiuti speciali - 2020 (ISPRA);
	Area geografica;RS NP (t);RS P (t);RS codice CER ND (t);Totale (t);
Nord;      76.839.363;       6.825.254;               0;      83.664.617;
Centro;      23.515.003;       1.227.056;               0;      24.742.059;
Sud;      36.781.154;       1.795.906;               0;      38.577.060;
Italia;     137.135.520;       9.848.216;               0;     146.983.736;

		Produzione dei rifiuti speciali pericolosi e non pericolosi per attivita' economica - 2020 (ISPRA);
		Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
		01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;         291.126;          26.080;          31.852;         349.058;
02 - Silvicoltura ed utilizzo di aree forestali;           4.336;             803;              21;           5.160;
03 - Pesca e acquacoltura;             212;             200;           1.195;           1.607;
05 - Estrazione di carbone (esclusa torba);-;               6;-;               6;
06 - Estrazione di petrolio greggio e di gas naturale;          50.260;          14.120;         937.293;       1.001.673;
07 - Estrazione di minerali metalliferi;-;             348;-;             348;
08 - Altre attivita' di estrazione di minerali da cave e miniere;          78.498;          49.749;          68.609;         196.856;
09 - Attivita' dei servizi di supporto all'estrazione;         148.201;             119;           1.410;         149.730;
10, 11 - Industria alimentare e delle bevande;       1.803.167;         381.465;         773.139;       2.957.771;
12 - Industria del tabacco;          11.785;           1.666;             390;          13.841;
13 - Industria tessile;         179.747;          57.033;          32.490;         269.270;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;          54.001;          30.550;          20.203;         104.754;
15 - Fabbricazione di articoli in pelle e simili;         238.198;         165.043;          34.198;         437.439;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;         969.846;          73.878;          92.340;       1.136.064;
17 - Fabbricazione di carta e di prodotti in carta;         960.636;         435.246;         131.110;       1.526.992;
18 - Stampa e riproduzione di supporti registrati;         263.581;          52.411;          31.892;         347.884;
19 - Raffinerie petrolio, fabbricazione coke;         269.740;          32.921;         145.815;         448.476;
20 - Fabbricazione di prodotti chimici;       1.099.636;         704.198;         210.555;       2.014.389;
21 - Fabbricazione di prodotti farmaceutici di base e preparati;         577.098;          68.829;          41.768;         687.695;
22 - Industria gomma e materie plastiche;         616.673;          88.701;          89.359;         794.733;
23 - Industria minerali non metalliferi;       1.885.362;         329.074;         159.837;       2.374.273;
24 - Industria metallurgica;       4.386.324;         629.647;       2.608.114;       7.624.085;
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);       2.585.498;         313.441;         333.389;       3.232.328;
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;          39.296;           9.432;          18.997;          67.725;
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;         202.533;          36.025;          29.241;         267.799;
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;         809.594;          79.585;          40.220;         929.399;
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;         275.248;          40.581;         109.877;         425.706;
30 - Fabbricazione di altri mezzi di trasporto;          66.053;          28.163;          37.053;         131.269;
31 - Fabbricazione di mobili;         466.583;         146.002;          25.763;         638.348;
32 - Altre industrie manifatturiere;          84.579;          22.404;           3.628;         110.611;
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;          91.804;          23.572;          27.172;         142.548;
35 - Fornitura di energia elettrica, gas, vapore e aria;         483.266;         339.560;         814.449;       1.637.275;
36 - Raccolta, trattamento e fornitura di acqua;         851.760;         107.174;         355.488;       1.314.422;
37 - Gestione delle reti fognarie;       2.117.188;         982.146;         742.169;       3.841.503;
38 - Attivita' di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;      18.880.462;       6.682.529;      12.395.761;      37.958.752;
39 - Attivita' di risanamento e altri servizi di gestione dei rifiuti;         390.769;          90.162;         149.229;         630.160;
41, 42, 43 - Costruzioni;      38.037.498;      11.431.214;      16.760.940;      66.229.652;
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;       1.208.731;         430.515;         708.676;       2.347.922;
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);       1.852.464;         521.613;         203.323;       2.577.400;
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);          98.378;          29.924;          42.181;         170.483;
49 - Trasporto terrestre e trasporto mediante condotte;         567.014;          82.324;          76.869;         726.207;
50 - Trasporto marittimo e per vie d'acqua;          16.631;             258;           2.551;          19.440;
51 - Trasporto aereo;             448;             709;             777;           1.934;
52 - Magazzinaggio e attivita' di supporto ai trasporti;         218.225;          47.360;          94.236;         359.821;
53 - Servizi postali e attivita' di corriere;           1.008;             332;             487;           1.827;
55 - Alloggio;           5.211;           4.223;          13.095;          22.529;
56 - Attivita' dei servizi di ristorazione;          13.941;           4.226;           7.305;          25.472;
58 - Attivita' editoriali;           7.841;           3.580;           2.580;          14.001;
59 - Attivita' di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;             126;             186;              87;             399;
60 - Attivita' di programmazione e trasmissione;           1.819;             441;             100;           2.360;
61 - Telecomunicazioni;           4.400;           1.803;           1.261;           7.464;
62 - Produzione di software, consulenza informatica e attivita' connesse;           2.949;           1.033;             222;           4.204;
63 - Attivita' dei servizi d'informazione e altri servizi informatici;           1.423;           1.037;             436;           2.896;
64 - Attivita' di servizi finanziari (escluse le assicurazioni e i fondi pensione);             955;             427;             793;           2.175;
65 - Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie);             141;             194;-;             335;
66 - Attivita' ausiliarie dei servizi finanziari e delle attivita' assicurative;              17;              25;-;              42;
68 - Attivita' immobiliari;           6.836;           1.431;           6.999;          15.266;
69 - Attivita' legali e contabilita';             450;             271;              52;             773;
70 - Attivita' di direzione aziendale e di consulenza gestionale;           4.940;           1.876;             589;           7.405;
71 - Attivita' degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;          16.084;           2.357;           2.648;          21.089;
72 - Ricerca scientifica e sviluppo;          13.606;           2.967;           1.301;          17.874;
73 - Pubblicita' e ricerche di mercato;           2.133;             528;             363;           3.024;
74 - Altre attivita' professionali, scientifiche e tecniche;           6.133;           1.561;           3.074;          10.768;
75 - Servizi veterinari;             625;             223;             411;           1.259;
77 - Attivita' di noleggio e leasing operativo;          10.640;           5.594;           2.345;          18.579;
78 - Attivita' di ricerca, selezione, fornitura di personale;               8;-;              11;              19;
79 - Attivita' dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attivita' connesse;              27;              58;               6;              91;
80 - Servizi di vigilanza e investigazione;             144;             123;              66;             333;
81 - Attivita' di servizi per edifici e paesaggio;          73.092;          37.609;          34.128;         144.829;
