	Dati di sintesi della produzione dei rifiuti speciali - 2020 (ISPRA);
	Area geografica;RS NP (t);RS P (t);RS codice CER ND (t);Totale (t);
82 - Attivita' di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;          59.611;          13.866;          19.133;          92.610;
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;          37.794;          12.464;          16.822;          67.080;
85 - Istruzione;           2.206;           1.574;             746;           4.526;
86, 87, 88 - Sanita' e assistenza sociale;         122.399;          47.402;          62.395;         232.196;
90 - Attivita' creative, artistiche e di intrattenimento;           6.696;             684;           2.997;          10.377;
91 - Attivita' di biblioteche, archivi, musei ed altre attivita' culturali;             589;             727;             118;           1.434;
92 - Attivita' riguardanti le lotterie, le scommesse, le case da gioco;             778;             141;              20;             939;
93 - Attivita' sportive, di intrattenimento e di divertimento;           3.622;             392;           1.686;           5.700;
94 - Attivita' di organizzazioni associative;           1.883;             262;             655;           2.800;
95 - Riparazione di computer e di beni per uso personale e per la casa;           3.223;           1.200;             124;           4.547;
96 - Altre attivita' di servizi per la persona;          18.327;           4.131;           8.910;          31.368;
97 - Attivita' di famiglie e convivenze come datori di lavoro per personale domestico;               5;-;-;               5;
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze;             192;-;               4;             196;
99 - Organizzazioni ed organismi extraterritoriali;             216;             126;             320;             662;
ND - Attivita' ISTAT non determinata;              78;             205;           1.192;           1.475;
Totale;      83.664.617;      24.742.059;      38.577.060;     146.983.736;

Produzione dei rifiuti speciali non pericolosi per attivita' economica - 2020 (ISPRA);
		Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
		01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;         288.267;          25.364;          31.015;         344.646;
02 - Silvicoltura ed utilizzo di aree forestali;           4.264;             774;              12;           5.050;
03 - Pesca e acquacoltura;             204;             164;           1.125;           1.493;
05 - Estrazione di carbone (esclusa torba);-;               3;-;               3;
06 - Estrazione di petrolio greggio e di gas naturale;          48.678;          10.512;         853.356;         912.546;
07 - Estrazione di minerali metalliferi;-;             316;-;             316;
08 - Altre attivita' di estrazione di minerali da cave e miniere;          77.608;          49.476;          68.259;         195.343;
09 - Attivita' dei servizi di supporto all'estrazione;         146.864;             113;             961;         147.938;
10, 11 - Industria alimentare e delle bevande;       1.787.823;         379.749;         771.419;       2.938.991;
12 - Industria del tabacco;          11.570;           1.658;             353;          13.581;
13 - Industria tessile;         162.184;          53.811;          32.331;         248.326;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;          51.069;          30.486;          19.643;         101.198;
15 - Fabbricazione di articoli in pelle e simili;         234.893;         161.912;          33.638;         430.443;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;         956.559;          72.031;          91.864;       1.120.454;
17 - Fabbricazione di carta e di prodotti in carta;         948.348;         431.689;         127.630;       1.507.667;
18 - Stampa e riproduzione di supporti registrati;         247.525;          49.779;          30.592;         327.896;
19 - Raffinerie petrolio, fabbricazione coke;          14.636;           5.295;          34.890;          54.821;
20 - Fabbricazione di prodotti chimici;         509.352;         662.335;         159.155;       1.330.842;
21 - Fabbricazione di prodotti farmaceutici di base e preparati;         146.341;          37.414;          21.068;         204.823;
22 - Industria gomma e materie plastiche;         541.887;          82.490;          81.587;         705.964;
23 - Industria minerali non metalliferi;       1.818.495;         323.755;         155.497;       2.297.747;
24 - Industria metallurgica;       3.785.811;         523.087;       2.450.116;       6.759.014;
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);       2.262.152;         274.575;         310.047;       2.846.774;
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;          29.373;           8.177;          15.904;          53.454;
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;         173.550;          32.540;          23.018;         229.108;
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;         692.427;          66.918;          31.659;         791.004;
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;         234.509;          36.550;          97.662;         368.721;
30 - Fabbricazione di altri mezzi di trasporto;          47.344;          22.332;          25.238;          94.914;
31 - Fabbricazione di mobili;         456.156;         143.766;          25.295;         625.217;
32 - Altre industrie manifatturiere;          46.814;          17.468;           2.769;          67.051;
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;          58.395;          16.831;          19.842;          95.068;
35 - Fornitura di energia elettrica, gas, vapore e aria;         447.703;         262.830;         746.336;       1.456.869;
36 - Raccolta, trattamento e fornitura di acqua;         848.084;         106.843;         354.327;       1.309.254;
37 - Gestione delle reti fognarie;       2.021.115;         965.907;         668.185;       3.655.207;
38 - Attivita' di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;      16.520.992;       6.300.451;      12.019.683;      34.841.126;
39 - Attivita' di risanamento e altri servizi di gestione dei rifiuti;         253.564;          77.582;          84.226;         415.372;
41, 42, 43 - Costruzioni;      37.725.994;      11.401.601;      16.714.715;      65.842.310;
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;         364.234;         125.124;         207.797;         697.155;
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);       1.788.991;         510.670;         193.798;       2.493.459;
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);          89.844;          25.789;          39.800;         155.433;
49 - Trasporto terrestre e trasporto mediante condotte;         526.804;          79.051;          65.271;         671.126;
50 - Trasporto marittimo e per vie d'acqua;           3.255;              72;           1.327;           4.654;
51 - Trasporto aereo;             383;             607;             740;           1.730;
52 - Magazzinaggio e attivita' di supporto ai trasporti;         185.827;          39.321;          45.369;         270.517;
53 - Servizi postali e attivita' di corriere;             965;             313;             487;           1.765;
55 - Alloggio;           4.996;           4.128;          13.018;          22.142;
56 - Attivita' dei servizi di ristorazione;          13.802;           4.178;           7.275;          25.255;
58 - Attivita' editoriali;           7.697;           3.536;           2.469;          13.702;
59 - Attivita' di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;             102;             172;              74;             348;
60 - Attivita' di programmazione e trasmissione;           1.796;             438;              96;           2.330;
61 - Telecomunicazioni;           3.341;           1.467;             730;           5.538;
62 - Produzione di software, consulenza informatica e attivita' connesse;           2.817;             819;             198;           3.834;
63 - Attivita' dei servizi d'informazione e altri servizi informatici;           1.391;           1.022;             429;           2.842;
64 - Attivita' di servizi finanziari (escluse le assicurazioni e i fondi pensione);             830;             319;             728;           1.877;
65 - Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie);             136;             190;-;             326;
66 - Attivita' ausiliarie dei servizi finanziari e delle attivita' assicurative;              11;              23;-;              34;
68 - Attivita' immobiliari;           5.411;           1.146;           6.841;          13.398;
69 - Attivita' legali e contabilita';             305;             137;              23;             465;
70 - Attivita' di direzione aziendale e di consulenza gestionale;           3.268;           1.862;             566;           5.696;
71 - Attivita' degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;          10.741;           1.631;           1.931;          14.303;
72 - Ricerca scientifica e sviluppo;           8.638;           2.133;             879;          11.650;
73 - Pubblicita' e ricerche di mercato;           2.095;             519;             293;           2.907;
74 - Altre attivita' professionali, scientifiche e tecniche;           3.798;           1.369;           2.482;           7.649;
75 - Servizi veterinari;             109;              53;             100;             262;
77 - Attivita' di noleggio e leasing operativo;           9.225;           4.865;           1.823;          15.913;
78 - Attivita' di ricerca, selezione, fornitura di personale;               4;-;               8;              12;
79 - Attivita' dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attivita' connesse;              16;              58;               5;              79;
80 - Servizi di vigilanza e investigazione;             105;             118;              59;             282;
81 - Attivita' di servizi per edifici e paesaggio;          67.462;          28.854;          29.576;         125.892;
82 - Attivita' di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;          43.542;          13.679;          17.331;          74.552;
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;          31.147;           8.877;          11.362;          51.386;
85 - Istruzione;           1.222;           1.239;             362;           2.823;
86, 87, 88 - Sanita' e assistenza sociale;          27.841;           7.781;           9.516;          45.138;
90 - Attivita' creative, artistiche e di intrattenimento;           6.354;             671;           2.790;           9.815;
91 - Attivita' di biblioteche, archivi, musei ed altre attivita' culturali;             510;             710;             115;           1.335;
92 - Attivita' riguardanti le lotterie, le scommesse, le case da gioco;             554;              80;              13;             647;
93 - Attivita' sportive, di intrattenimento e di divertimento;           3.369;             326;           1.674;           5.369;
94 - Attivita' di organizzazioni associative;           1.590;             203;             580;           2.373;
95 - Riparazione di computer e di beni per uso personale e per la casa;           2.941;             781;              80;           3.802;
96 - Altre attivita' di servizi per la persona;          11.073;           3.844;           8.456;          23.373;
97 - Attivita' di famiglie e convivenze come datori di lavoro per personale domestico;               5;-;-;               5;
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze;             192;-;               4;             196;
99 - Organizzazioni ed organismi extraterritoriali;               9;             100;             270;             379;
ND - Attivita' ISTAT non determinata;              65;             144;             992;           1.201;
Totale;      76.839.363;      23.515.003;      36.781.154;     137.135.520

		Produzione dei rifiuti speciali pericolosi per attivita' economica - 2020 (ISPRA);
		Descrizione attivita';Nord (t);Centro (t);Sud (t);Italia (t);
		01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;           2.859;             716;             837;           4.412;
02 - Silvicoltura ed utilizzo di aree forestali;              72;              29;               9;             110;
03 - Pesca e acquacoltura;               8;              36;              70;             114;
05 - Estrazione di carbone (esclusa torba);-;               3;-;               3;
06 - Estrazione di petrolio greggio e di gas naturale;           1.582;           3.608;          83.937;          89.127;
07 - Estrazione di minerali metalliferi;-;              32;-;              32;
08 - Altre attivita' di estrazione di minerali da cave e miniere;             890;             273;             350;           1.513;
09 - Attivita' dei servizi di supporto all'estrazione;           1.337;               6;             449;           1.792;
10, 11 - Industria alimentare e delle bevande;          15.344;           1.716;           1.720;          18.780;
12 - Industria del tabacco;             215;               8;              37;             260;
13 - Industria tessile;          17.563;           3.222;             159;          20.944;
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;           2.932;              64;             560;           3.556;
15 - Fabbricazione di articoli in pelle e simili;           3.305;           3.131;             560;           6.996;
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;          13.287;           1.847;             476;          15.610;
17 - Fabbricazione di carta e di prodotti in carta;          12.288;           3.557;           3.480;          19.325;
18 - Stampa e riproduzione di supporti registrati;          16.056;           2.632;           1.300;          19.988;
19 - Raffinerie petrolio, fabbricazione coke;         255.104;          27.626;         110.925;         393.655;
20 - Fabbricazione di prodotti chimici;         590.284;          41.863;          51.400;         683.547;
21 - Fabbricazione di prodotti farmaceutici di base e preparati;         430.757;          31.415;          20.700;         482.872;
22 - Industria gomma e materie plastiche;          74.786;           6.211;           7.772;          88.769;
23 - Industria minerali non metalliferi;          66.867;           5.319;           4.340;          76.526;
24 - Industria metallurgica;         600.513;         106.560;         157.998;         865.071;
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);         323.346;          38.866;          23.342;         385.554;
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;           9.923;           1.255;           3.093;          14.271;
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;          28.983;           3.485;           6.223;          38.691;
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;         117.167;          12.667;           8.561;         138.395;
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;          40.739;           4.031;          12.215;          56.985;
30 - Fabbricazione di altri mezzi di trasporto;          18.709;           5.831;          11.815;          36.355;
31 - Fabbricazione di mobili;          10.427;           2.236;             468;          13.131;
32 - Altre industrie manifatturiere;          37.765;           4.936;             859;          43.560;
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;          33.409;           6.741;           7.330;          47.480;
35 - Fornitura di energia elettrica, gas, vapore e aria;          35.563;          76.730;          68.113;         180.406;
36 - Raccolta, trattamento e fornitura di acqua;           3.676;             331;           1.161;           5.168;
37 - Gestione delle reti fognarie;          96.073;          16.239;          73.984;         186.296;
38 - Attivita' di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;       2.359.470;         382.078;         376.078;       3.117.626;
39 - Attivita' di risanamento e altri servizi di gestione dei rifiuti;         137.205;          12.580;          65.003;         214.788;
41, 42, 43 - Costruzioni;         311.504;          29.613;          46.225;         387.342;
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;         844.497;         305.391;         500.879;       1.650.767;
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);          63.473;          10.943;           9.525;          83.941;
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);           8.534;           4.135;           2.381;          15.050;
49 - Trasporto terrestre e trasporto mediante condotte;          40.210;           3.273;          11.598;          55.081;
50 - Trasporto marittimo e per vie d'acqua;          13.376;             186;           1.224;          14.786;
51 - Trasporto aereo;              65;             102;              37;             204;
52 - Magazzinaggio e attivita' di supporto ai trasporti;          32.398;           8.039;          48.867;          89.304;
53 - Servizi postali e attivita' di corriere;              43;              19;-;              62;
55 - Alloggio;             215;              95;              77;             387;
56 - Attivita' dei servizi di ristorazione;             139;              48;              30;             217;
58 - Attivita' editoriali;             144;              44;             111;             299;
59 - Attivita' di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;              24;              14;              13;              51;
60 - Attivita' di programmazione e trasmissione;              23;               3;               4;              30;
61 - Telecomunicazioni;           1.059;             336;             531;           1.926;
62 - Produzione di software, consulenza informatica e attivita' connesse;             132;             214;              24;             370;
63 - Attivita' dei servizi d'informazione e altri servizi informatici;              32;              15;               7;              54;
64 - Attivita' di servizi finanziari (escluse le assicurazioni e i fondi pensione);             125;             108;              65;             298;
65 - Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie);               5;               4;-;               9;
66 - Attivita' ausiliarie dei servizi finanziari e delle attivita' assicurative;               6;               2;-;               8;
68 - Attivita' immobiliari;           1.425;             285;             158;           1.868;
69 - Attivita' legali e contabilita';             145;             134;              29;             308;
70 - Attivita' di direzione aziendale e di consulenza gestionale;           1.672;              14;              23;           1.709;
71 - Attivita' degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;           5.343;             726;             717;           6.786;
72 - Ricerca scientifica e sviluppo;           4.968;             834;             422;           6.224;
73 - Pubblicita' e ricerche di mercato;              38;               9;              70;             117;
74 - Altre attivita' professionali, scientifiche e tecniche;           2.335;             192;             592;           3.119;
75 - Servizi veterinari;             516;             170;             311;             997;
77 - Attivita' di noleggio e leasing operativo;           1.415;             729;             522;           2.666;
78 - Attivita' di ricerca, selezione, fornitura di personale;               4;-;               3;               7;
79 - Attivita' dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attivita' connesse;              11;-;               1;              12;
80 - Servizi di vigilanza e investigazione;              39;               5;               7;              51;
81 - Attivita' di servizi per edifici e paesaggio;           5.630;           8.755;           4.552;          18.937;
82 - Attivita' di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;          16.069;             187;           1.802;          18.058;
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;           6.647;           3.587;           5.460;          15.694;
85 - Istruzione;             984;             335;             384;           1.703;
86, 87, 88 - Sanita' e assistenza sociale;          94.558;          39.621;          52.879;         187.058;
90 - Attivita' creative, artistiche e di intrattenimento;             342;              13;             207;             562;
91 - Attivita' di biblioteche, archivi, musei ed altre attivita' culturali;              79;              17;               3;              99;
92 - Attivita' riguardanti le lotterie, le scommesse, le case da gioco;             224;              61;               7;             292;
93 - Attivita' sportive, di intrattenimento e di divertimento;             253;              66;              12;             331;
94 - Attivita' di organizzazioni associative;             293;              59;              75;             427;
95 - Riparazione di computer e di beni per uso personale e per la casa;             282;             419;              44;             745;
96 - Altre attivita' di servizi per la persona;           7.254;             287;             454;           7.995;
97 - Attivita' di famiglie e convivenze come datori di lavoro per personale domestico;-;-;-;               0;
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze;-;-;-;               0;
99 - Organizzazioni ed organismi extraterritoriali;             207;              26;              50;             283;
ND - Attivita' ISTAT non determinata;              13;              61;             200;             274;
Totale;       6.825.254;       1.227.056;       1.795.906;       9.848.216

	Produzione dei rifiuti speciali pericolosi e non pericolosi per Capitolo dell'Elenco Europeo dei Rifiuti - 2020 (ISPRA);
		Capitolo dell'Elenco;Nord (t);Centro (t);Sud (t);Italia (t)
				ND - Attivita' ISTAT non determinata;              78;             205;           1.192;           1.475;
01 - Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonche' dal trattamento fisico o chimico di minerali;         731.960;         328.545;          95.794;       1.156.299;
02 - Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;       1.667.587;         357.775;         680.878;       2.706.240;
03 - Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;       1.332.518;         512.286;         121.449;       1.966.253;
04 - Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;         293.043;         183.732;          50.305;         527.080;
05 - Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;          25.221;          12.876;          48.811;          86.908;
06 - Rifiuti dei processi chimici inorganici;         272.719;         618.694;          61.033;         952.446;
07 - Rifiuti dei processi chimici organici;       1.313.849;         120.551;         106.958;       1.541.358;
08 - Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;         700.000;          72.380;          36.743;         809.123;
09 - Rifiuti dell'industria fotografica;           7.984;           1.433;           1.421;          10.838;
10 - Rifiuti provenienti da processi termici;       4.224.556;         657.049;       5.196.500;      10.078.105;
11 - Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;         319.956;          71.103;          93.990;         485.049;
12 - Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;       4.023.554;         373.304;         413.425;       4.810.283;
13 - Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12);         707.984;         118.002;         164.979;         990.965;
14 - Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08);          37.580;           5.884;           2.855;          46.319;
15 - Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;       2.870.952;         613.853;         582.822;       4.067.627;
16 - Rifiuti non specificati altrimenti nell'elenco;       3.485.861;       1.168.738;       3.077.171;       7.731.770;
17 - Rifiuti delle attivita' di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);      37.961.536;      11.314.453;      16.427.733;      65.703.722;
18 - Rifiuti prodotti dal settore sanitario e veterinario o da attivita' di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);         116.550;          54.695;          60.962;         232.207;
19 - Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonche' dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;      21.959.827;       7.737.299;      10.928.614;      40.625.740;
20 - Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attivita' commerciali e industriali nonche' dalle istituzioni) inclusi i rifiuti della raccolta differenziata;       1.611.302;         419.202;         423.425;       2.453.929;
	Totale;      83.664.617;      24.742.059;      38.577.060;     146.983.736

	Produzione dei rifiuti speciali non pericolosi per Capitolo dell'Elenco Europeo dei Rifiuti - 2020 (ISPRA);
		Capitolo dell'Elenco;Nord (t);Centro (t);Sud (t);Italia (t)
				ND - Attivita' ISTAT non determinata;              65;             144;             992;           1.201;
01 - Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonche' dal trattamento fisico o chimico di minerali;         731.430;         328.489;          95.251;       1.155.170;
02 - Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;       1.667.368;         357.742;         680.870;       2.705.980;
03 - Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;       1.319.019;         510.844;         119.697;       1.949.560;
04 - Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;         292.824;         183.561;          50.262;         526.647;
05 - Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;           1.867;           7.679;           3.020;          12.566;
06 - Rifiuti dei processi chimici inorganici;         182.892;         606.730;          26.339;         815.961;
07 - Rifiuti dei processi chimici organici;         335.321;          56.848;          55.361;         447.530;
08 - Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;         636.561;          62.758;          26.002;         725.321;
09 - Rifiuti dell'industria fotografica;             696;             132;             243;           1.071;
10 - Rifiuti provenienti da processi termici;       3.796.503;         631.320;       5.094.341;       9.522.164;
