Quantitativi di frazione organica avviati fuori regione - 2018 (ISPRA);
	Regione;Anno;Quantitativo (t)
Piemonte;2018;          69.620;
Valle d'Aosta;2018;          11.745;
Lombardia;2018;          31.945;
Trentino-Alto Adige;2018;          41.024;
Veneto;2018;         134.428;
Friuli-Venezia Giulia;2018;          11.452;
Liguria;2018;          74.552;
Emilia-Romagna;2018;         136.473;
Toscana;2018;         156.646;
Umbria;2018;          40.033;
Marche;2018;          93.731;
Lazio;2018;         270.112;
Abruzzo;2018;          50.363;
Molise;2018;               1;
Campania;2018;         486.593;
Puglia;2018;          32.697;
Basilicata;2018;          22.633;
Calabria;2018;           5.952;
Sicilia;2018;             462;
Sardegna;2018;               0;
Italia;2018;       1.670.462;

Andamento del totale dei flussi extraregionali della frazione organica (ISPRA);
	Anno;Quantitativo (t)
2018;       1.670.462;
		
Quantitativi di rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a incenerimento fuori regione, - 2018 (ISPRA);
	Regione;Anno;Quantitativo (t)

Andamento del totale dei flussi extraregionali dei rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a incenerimento (ISPRA);
	Anno;Quantitativo (t)

Quantitativi di rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a discarica fuori regione, - 2018 (ISPRA);
	Regione;Anno;Quantitativo (t)
Piemonte;2018;          24.620,8;
Valle d'Aosta;2018;               0,0;
Lombardia;2018;          86.529,5;
Trentino-Alto Adige;2018;           4.655,6;
Veneto;2018;          30.606,2;
Friuli-Venezia Giulia;2018;           1.262,0;
Liguria;2018;           6.489,9;
Emilia-Romagna;2018;          36.277,3;
Toscana;2018;           6.435,5;
Umbria;2018;          10.500,7;
Marche;2018;               0,0;
Lazio;2018;         185.384,7;
Abruzzo;2018;          51.322,4;
Molise;2018;               0,0;
Campania;2018;          89.861,4;
Puglia;2018;          11.002,5;
Basilicata;2018;           5.378,3;
Calabria;2018;           6.727,2;
Sicilia;2018;               1,2;
Sardegna;2018;               0,0;
Italia;2018;         557.055,1;

		

Andamento del totale dei flussi extraregionali dei rifiuti urbani (compresi i rifiuti derivanti dal loro trattamento) avviati a discarica (ISPRA);
	Anno;Quantitativo (t)
2018;         557.055,1;

