Quantitativi di rifiuti speciali importati per regione - 2018 (ISPRA);
	Regione;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
NIGERIA;2018;             211,9;              45,7;             257,6;
NORVEGIA;2018;             973,4;               0,0;             973,4;
NUOVA ZELANDA;2018;              56,0;               0,0;              56,0;
OMAN;2018;             162,0;               0,0;             162,0;
PAESI BASSI;2018;          88.477,1;           8.575,6;          97.052,7;
PAKISTAN;2018;             121,7;               0,0;             121,7;
PANAMA;2018;              74,2;               0,1;              74,3;
PERU;2018;             232,6;               0,0;             232,6;
POLINESIA FRANCESE;2018;             230,0;               0,0;             230,0;
POLONIA;2018;          76.666,1;             258,6;          76.924,7;
PORTO RICO;2018;              18,4;               0,0;              18,4;
PORTOGALLO;2018;             906,3;               0,0;             906,4;
QATAR;2018;              20,8;               0,0;              20,8;
REGNO UNITO;2018;          59.594,8;          18.184,1;          77.778,8;
REPUBBLICA CECA;2018;         334.844,2;               9,2;         334.853,3;
REPUBBLICA DEL CONGO;2018;           2.550,0;               0,0;           2.550,0;
REPUBBLICA DOMINICANA;2018;             282,9;               0,0;             282,9;
REUNION;2018;              23,9;               0,0;              23,9;
ROMANIA;2018;          22.967,8;              33,6;          23.001,4;
SENEGAL;2018;             313,5;               0,0;             313,5;
SERBIA E MONTENEGRO;2018;          13.829,9;             162,7;          13.992,6;
SEYCHELLES;2018;               0,0;               0,8;               0,8;
SINGAPORE;2018;           4.206,3;               0,0;           4.206,3;
SLOVACCHIA;2018;         112.135,4;             656,8;         112.792,2;
SLOVENIA;2018;         464.436,1;             518,8;         464.954,9;
SOMALIA;2018;              12,1;               0,0;              12,1;
SPAGNA;2018;          43.702,5;          28.121,3;          71.823,8;
SUD AFRICA;2018;             181,7;               0,0;             181,7;
SUDAN;2018;             365,8;               0,0;             365,8;
SVEZIA;2018;           4.743,2;               0,0;           4.743,2;
SVIZZERA;2018;       1.064.920,6;           8.427,5;       1.073.348,1;
TANZANIA;2018;             327,4;              17,0;             344,4;
THAILANDIA;2018;             187,2;               0,0;             187,2;
TOGO;2018;              63,1;              16,2;              79,3;
TUNISIA;2018;           4.456,0;             457,3;           4.913,3;
TURCHIA;2018;           5.104,0;               0,0;           5.104,0;
UCRAINA;2018;           1.339,0;               0,0;           1.339,0;
UGANDA;2018;              23,6;               0,0;              23,6;
UNGHERIA;2018;         587.151,0;               0,0;         587.151,0;
URUGUAY;2018;              35,6;               0,0;              35,6;
USA;2018;          15.046,1;              37,6;          15.083,7;
VENEZUELA;2018;              25,0;               0,0;              25,0;
VIETNAM;2018;             127,6;               0,0;             127,6;
YEMEN;2018;             460,7;               0,0;             460,7;
ZAMBIA;2018;               0,0;              16,2;              16,2;
TOTALE;;       7.190.173,0;         114.106,1;       7.304.279,1;
		
Andamento delle importazioni di rifiuti speciali (ISPRA);
	Anno;Quantitativo (t)
2018;       7.304.279,1;

