sezione;col1;col2;col3;col4
Nord;71;243.141;253.672;496.813
Centro;22;56.125;59.060;115.185
Sud;39;147.899;38.178;186.077
Italia;132;447.165;350.910;798.075
Trattamento integrato aerobico e anaerobico;;;;
Area geografica;Numero impianti;Fanghi (t);Altri RS (t);Totale RS (t)
Nord;18;66.989;135.106;202.095
Centro;3;4.154;818;4.972
Sud;3;0;495;495
Italia;24;71.143;136.419;207.562
Digestione anaerobica;;;;
Area geografica;Numero impianti;Fanghi (t);Altri RS (t);Totale RS (t)
Nord;16;442.236;49.054;491.290
Sud;1;8.132;49.439;57.571
Italia;17;450.368;98.493;548.861
Trattamento meccanico biologico (TMB);;;;
Area geografica;Numero impianti;RS(t);;
Nord;18;102.984,0;;
Centro;8;104.328,0;;
Sud;7;5.793,0;;
Italia;33;213.105,0;;
Incenerimento;;;;
Area geografica;Numero impianti;Rifiuti combustibili (EER 191210)(t);Altri RS non pericolosi (t);RS pericolosi (t)
Nord;46;58.201;634.220;305.791
Centro;9;0;17.389;9.567
Sud;26;20.108;39.292;114.678
Italia;81;78.309;690.901;430.036
Coincenerimento;;;;
Area geografica;Numero impianti;Rifiuti combustibili (EER 191210)(t);Altri RS non pericolosi (t);RS pericolosi (t)
Nord;198;73.446;1.315.627;91.680
Centro;61;24.530;233.288;0
Sud;45;84.873;193.566;29.546
Italia;304;182.849;1.742.481;121.226
Smaltimento in discarica;;;;
Area geografica;Numero impianti;Rifiuti non pericolosi (t);Rifiuti pericolosi (t);Totale RS (t)
Nord;172;5.872.203;700.483;6.572.686
Centro;45;2.232.202;143.705;2.375.907
Sud;88;2.624.881;415.557;3.040.438
Italia;305;10.729.286;1.259.745;11.989.031
Demolitori veicoli (d.lgs 209/2003);;;;
Area geografica;Numero impianti;Veicoli (t);;
Nord;635;605.550;;
Centro;236;234.094;;
Sud;591;453.110;;
Italia;1.462;1.292.754;;
Rottamatori veicoli (d.lgs. n. 209/2003);;;;
Area geografica;Numero impianti;Veicoli (EER 160106)(t);Altri RS (t);Totale (t)
Nord;55;16.350;17.886;34.236
Centro;27;2.011;5.197;7.208
Sud;15;18.297;11.312;29.609
Italia;97;36.658;34.395;71.053
Frantumatori veicoli (d.lgs. n. 209/2003);;;;
Area geografica;Numero impianti;Veicoli (EER 160106)(t);Altri RS (t);Totale (t)
Nord;19;569.414;114.695;684.109
Centro;8;238.242;25.723;263.965
Sud;5;93.891;29.847;123.738
Italia;32;901.547;170.265;1.071.812
