
	Gestione nazionale dei rifiuti urbani - anno 2024 (ISPRA);
	Compostaggio
	Area geografica;Numero impianti;Frazione umida (t);Verde (t);Tot. RU (t);Fanghi (t);Altro (t);Totale (t)
Nord;147;         125.165,0;       1.022.565,0;       1.147.730,0;         353.489,0;         286.684,0;       1.787.903,0;
Centro;36;         146.480,0;         161.378,0;         307.858,0;          41.151,0;          52.303,0;         401.312,0;
Sud;67;         826.674,0;         155.131,0;         981.805,0;         213.657,0;          47.044,0;       1.242.506,0;
Italia;250;       1.098.319,0;       1.339.074,0;       2.437.393,0;         608.297,0;         386.031,0;       3.431.721,0;

	Trattamento integrato aerobico e anaerobico
	Area geografica;Numero impianti;Frazione umida (t);Verde (t);Tot. RU (t);Fanghi (t);Altro (t);Totale (t)
Nord;39;       2.738.306,0;         458.001,0;       3.196.307,0;         128.061,0;         240.655,0;       3.565.023,0;
Centro;12;         411.798,0;         111.938,0;         523.736,0;          31.148,0;           1.453,0;         556.337,0;
Sud;15;         433.979,0;          40.438,0;         474.417,0;          10.935,0;          98.955,0;         584.307,0;
Italia;66;       3.584.083,0;         610.377,0;       4.194.460,0;         170.144,0;         341.063,0;       4.705.667,0;

	Digestione anaerobica
	Area geografica;Numero impianti;Frazione organica RU (t);Fanghi (t);Altro (t);Totale (t)
Nord;24;         419.581,0;         511.294,0;          74.394,0;       1.005.269,0;
Centro;2;          51.849,0;               0,0;           1.121,0;          52.970,0;
Sud;2;          68.479,0;               0,0;               0,0;          68.479,0;
Italia;28;         539.909,0;         511.294,0;          75.515,0;       1.126.718,0;

	Trattamento meccanico biologico (TMB)
	Area geografica;Numero impianti;RU indiff. (t);Rif. da trattamento RU (t);Altri RU (t);Tot. RU e tratt. RU (t) ;RS(t)
Nord;37;       1.072.424,0;         332.543,0;          78.491,0;       1.483.458,0;         142.965,0;
Centro;40;       2.129.944,0;         282.998,0;          54.450,0;       2.467.392,0;         115.730,0;
Sud;55;       3.494.929,0;       1.243.069,0;          50.651,0;       4.788.649,0;          23.514,0;
Italia;132;       6.697.297,0;       1.858.610,0;         183.592,0;       8.739.499,0;         282.209,0;

	Incenerimento
	Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t) ;RS non pericolosi(t);RS pericolosi(t)
Nord;25;       2.709.316,0;       1.394.045,0;       4.103.361,0;         576.353,0;          32.450,0;
Centro;4;          50.861,0;         391.971,0;         442.832,0;           4.941,0;               3,0;
Sud;6;          30.935,0;         907.137,0;         938.072,0;           8.087,0;          30.966,0;
Italia;35;       2.791.112,0;       2.693.153,0;       5.484.265,0;         589.381,0;          63.419,0;

	Coincenerimento
	Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t);Da trattmento RS (t);RS non pericolosi(t);RS pericolosi(t)
Nord;8;           2.504,0;         192.690,0;         195.194,0;               0,0;         237.554,0;          15.328,0;
Centro;1;               0,0;           6.057,0;           6.057,0;               0,0;          26.767,0;               0,0;
Sud;3;               0,0;         128.320,0;         128.320,0;               0,0;          11.341,0;               0,0;
Italia;12;           2.504,0;         327.067,0;         329.571,0;               0,0;         275.662,0;          15.328,0;

	Smaltimento in discarica
	Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t) ;RS (t)
Nord;45;         133.209,1;       1.143.542,4;       1.276.751,5;       1.299.881,5;
Centro;23;          30.432,5;       1.478.150,6;       1.508.583,0;         626.002,7;
Sud;34;          54.494,6;       1.588.816,1;       1.643.310,6;         190.333,8;
Italia;102;         218.136,1;       4.210.509,1;       4.428.645,2;       2.116.218,0;

	Andamento del numero di impianti per tipologia
	Anno;Compostaggio (n.);Tratt. integrato (n.);Dig. anaerobica (n.);TMB (n.);Incenerimento (n.);Coincenerimento (n.);Discarica (n.); Totale (n.)
	2024;250;66;28;132;35;12;102;625;
2023;275;61;27;134;36;11;112;656;
2022;285;51;22;132;36;11;117;654;
2021;293;42;21;124;37;14;126;657;
2020;293;43;23;135;37;14;131;676;
2019;281;41;23;132;37;13;131;658;
2018;281;35;23;131;38;11;127;646;
2017;285;31;24;130;39;12;123;644;
2016;274;31;21;130;41;12;134;643;
