regione;anno;non_pericolosi_t;pericolosi_t;totale_t
PIEMONTE;2022;10.712;1.480;12.192
VALLE D'AOSTA;2022;2;0;2
LOMBARDIA;2022;129.090;542;129.632
TRENTINO ALTO ADIGE;2022;6.967;133;7.100
VENETO;2022;29.105;82;29.187
FRIULI VENEZIA GIULIA;2022;55.169;24;55.193
LIGURIA;2022;303;0;303
EMILIA ROMAGNA;2022;42.579;148;42.726
TOSCANA;2022;11.244;34;11.278
MARCHE;2022;656;0;656
LAZIO;2022;153.612;0;153.612
ABRUZZO;2022;58.269;0;58.269
CAMPANIA;2022;309.253;0;309.253
PUGLIA;2022;8.796;0;8.796
CALABRIA;2022;34.965;43;35.009
SICILIA;2022;4.827;0;4.827
SARDEGNA;2022;23;0;23
Italia;2022;855.572;2.485;858.057
