regione;anno;non_pericolosi_t;pericolosi_t;totale_t
PIEMONTE;2021;16.027;1.696;17.723
LOMBARDIA;2021;27.593;1.612;29.205
TRENTINO ALTO ADIGE;2021;5.987;143;6.130
VENETO;2021;47.566;647;48.214
FRIULI VENEZIA GIULIA;2021;49.146;42;49.187
LIGURIA;2021;24;0;24
EMILIA ROMAGNA;2021;30.230;68;30.298
TOSCANA;2021;11.910;22;11.933
MARCHE;2021;1.193;0;1.193
LAZIO;2021;98.178;206;98.384
ABRUZZO;2021;49.519;0;49.519
MOLISE;2021;20;0;20
CAMPANIA;2021;274.216;0;274.216
PUGLIA;2021;1.416;0;1.416
BASILICATA;2021;21;0;21
CALABRIA;2021;37.348;0;37.348
SICILIA;2021;1.076;0;1.076
SARDEGNA;2021;2.923;0;2.923
Italia;2021;654.394;4.436;658.830
