regione;anno;non_pericolosi_t;pericolosi_t;totale_t
PIEMONTE;2018;18.627;286;18.913
LOMBARDIA;2018;23.832;0;23.832
TRENTINO ALTO ADIGE;2018;7.437;108;7.545
VENETO;2018;38.654;42;38.696
FRIULI VENEZIA GIULIA;2018;124.653;0;124.653
LIGURIA;2018;3.523;0;3.523
EMILIA ROMAGNA;2018;8.355;0;8.355
TOSCANA;2018;25.456;0;25.456
UMBRIA;2018;617;0;617
MARCHE;2018;91;0;91
LAZIO;2018;42.901;0;42.901
ABRUZZO;2018;41.440;0;41.440
MOLISE;2018;24;0;24
CAMPANIA;2018;101.228;0;101.228
PUGLIA;2018;6.150;0;6.150
BASILICATA;2018;75;0;75
CALABRIA;2018;20.214;0;20.214
SICILIA;2018;804;0;804
Italia;2018;464.080;437;464.517
