regione;anno;non_pericolosi_t;pericolosi_t;totale_t
PIEMONTE;2019;15.277;530;15.806
LOMBARDIA;2019;62.243;0;62.243
TRENTINO ALTO ADIGE;2019;14.952;133;15.085
VENETO;2019;39.511;227;39.738
FRIULI VENEZIA GIULIA;2019;34.916;0;34.916
LIGURIA;2019;135;0;135
EMILIA ROMAGNA;2019;21.407;46;21.453
TOSCANA;2019;41.129;0;41.129
MARCHE;2019;5.357;0;5.357
LAZIO;2019;27.092;0;27.092
ABRUZZO;2019;46.828;0;46.828
CAMPANIA;2019;183.511;0;183.511
PUGLIA;2019;5.527;0;5.527
BASILICATA;2019;31;0;31
CALABRIA;2019;13.939;0;13.939
SICILIA;2019;636;0;636
SARDEGNA;2019;1.099;0;1.099
Italia;2019;513.589;936;514.525
