sezione;col1;col2;col3;col4;col5;col6;col7
Nord;173;510.649,0;1.057.715,2;1.568.364,2;221.750,0;224.416,0;2.014.530,2
Centro;46;385.344,0;201.212,0;586.556,0;51.475,0;40.872,0;678.903,0
Sud;62;986.059,0;130.189,0;1.116.248,0;152.545,0;46.382,0;1.315.175,0
Italia;281;1.882.052,0;1.389.116,2;3.271.168,2;425.770,0;311.670,0;4.008.608,2
Trattamento integrato aerobico e anaerobico;;;;;;;
Area geografica;Numero impianti;Frazione umida (t);Verde (t);Tot. RU (t);Fanghi (t);Altro (t);Totale (t)
Nord;26;2.198.573,0;263.599,0;2.462.172,0;76.879,0;133.263,0;2.672.314,0
Centro;4;76.315,0;21.827,0;98.142,0;0,0;1.058,0;99.200,0
Sud;5;181.187,0;17.202,0;198.389,0;0,0;473,0;198.862,0
Italia;35;2.456.075,0;302.628,0;2.758.703,0;76.879,0;134.794,0;2.970.376,0
Digestione anaerobica;;;;;;;
Area geografica;Numero impianti;Frazione organica RU (t);Fanghi (t);Altro (t);Totale (t);;
Nord;21;277.096,0;368.406,0;68.315,0;713.817,0;;
Sud;2;26.808,0;6.444,0;46.292,0;79.544,0;;
Italia;23;303.904,0;374.850,0;114.607,0;793.361,0;;
Trattamento meccanico biologico (TMB);;;;;;;
Area geografica;Numero impianti;RU indiff. (t);Rif. da trattamento RU (t);Altri RU (t);Tot. RU e tratt. RU (t);RS(t);
Nord;43;1.776.286,1;365.709,8;126.296,3;2.268.292,2;141.441,3;
Centro;37;2.746.752,7;226.168,1;74.135,7;3.047.056,6;53.987,0;
Sud;51;4.615.133,4;434.288,0;49.214,1;5.098.635,5;2.846,3;
Italia;131;9.138.172,2;1.026.165,9;249.646,1;10.413.984,2;198.274,6;
Incenerimento;;;;;;;
Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t);RS non pericolosi(t);RS pericolosi(t);
Nord;26;2.682.513,8;1.264.365,9;3.946.879,7;679.319,1;29.354,4;
Centro;6;66.163,6;518.581,0;584.744,6;1.258,7;0,0;
Sud;6;115.017,4;924.830,7;1.039.848,1;22.223,8;25.300,2;
Italia;38;2.863.694,8;2.707.777,6;5.571.472,4;702.801,6;54.654,6;
Coincenerimento;;;;;;;
Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t);Da trattmento RS (t);RS non pericolosi(t);RS pericolosi(t)
Nord;8;0,0;235.524,8;235.524,8;46.445,7;30.602,9;0,0
Centro;1;0,0;10.516,0;10.516,0;27.791,3;0,0;0,0
Sud;2;0,0;137.995,0;137.995,0;30.455,8;0,0;0,0
Italia;11;0,0;384.035,8;384.035,8;104.692,8;30.602,9;0,0
Smaltimento in discarica;;;;;;;
Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t);RS (t);;
Nord;56;197.596,4;1.343.734,6;1.541.331,0;1.953.024,1;;
Centro;25;61.268,8;1.537.828,5;1.599.097,3;570.854,4;;
Sud;46;115.598,5;3.240.370,0;3.355.968,5;988.019,9;;
Italia;127;374.463,7;6.121.933,1;6.496.396,8;3.511.898,3;;
Andamento del numero di impianti per tipologia;;;;;;;
Anno;Compostaggio (n.);Tratt. integrato (n.);Dig. anaerobica (n.);TMB (n.);Incenerimento (n.);Coincenerimento (n.);Discarica (n.)
2018;281;35;23;131;38;11;127
2017;285;31;24;130;39;12;123
2016;274;31;21;130;41;12;134
2015;263;26;20;118;41;17;149
