sezione;col1;col2;col3;col4;col5;col6;col7
Nord;162;769.579,5;1.102.664,0;1.872.243,4;193.729,2;210.401,8;2.276.374,4
Centro;43;503.405,7;251.223,4;754.629,1;67.356,1;69.047,5;891.032,6
Sud;58;626.635,0;123.734,7;750.369,7;159.736,4;51.128,6;961.234,7
Italia;263;1.899.620,2;1.477.622,0;3.377.242,2;420.821,7;330.577,8;4.128.641,8
Trattamento integrato aerobico e anaerobico;;;;;;;
Area geografica;Numero impianti;Frazione umida (t);Verde (t);Tot. RU (t);Fanghi (t);Altro (t);Totale (t)
Nord;22;1.281.476,1;188.292,6;1.469.768,8;70.675,7;43.487,0;1.583.931,4
Centro;1;28.754,0;5.648,3;34.402,4;0,0;0,0;34.402,4
Sud;3;95.478,5;5.804,5;101.283,0;0,0;742,0;102.025,0
Italia;26;1.405.708,7;199.745,4;1.605.454,1;70.675,7;44.229,0;1.720.358,8
Digestione anaerobica;;;;;;;
Area geografica;Numero impianti;Frazione organica RU (t);Fanghi (t);Altro (t);Totale (t);;
Nord;18;194.997,8;307.092,2;147.286,7;649.376,6;;
Sud;2;25.455,1;305,5;48.202,9;73.963,5;;
Italia;20;220.452,8;307.397,6;195.489,6;723.340,1;;
Trattamento meccanico biologico (TMB);;;;;;;
Area geografica;Numero impianti;RU indiff. (t);Rif. da trattamento RU (t);Altri RU (t);Tot. RU e tratt. RU (t);RS(t);
Nord;36;1.712.026,4;439.619,1;73.143,0;2.224.788,5;116.801,7;
Centro;32;3.012.109,0;50.749,9;50.396,2;3.113.255,1;18.205,3;
Sud;50;4.719.300,9;299.233,7;31.281,8;5.049.816,3;9.342,3;
Italia;118;9.443.436,2;789.602,8;154.820,9;10.387.859,9;144.349,4;
Incenerimento;;;;;;;
Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t);RS non pericolosi(t);RS pericolosi(t);
Nord;26;2.602.165,5;1.325.869,7;3.928.035,2;510.129,5;30.465,1;
Centro;8;114.025,1;473.307,0;587.332,1;456,7;163,2;
Sud;7;114.756,6;951.927,6;1.066.684,2;22.158,5;13.090,2;
Italia;41;2.830.947,2;2.751.104,3;5.582.051,5;532.744,7;43.718,4;
Coincenerimento;;;;;;;
Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t);Da trattmento RS (t);RS non pericolosi(t);RS pericolosi(t)
Nord;11;24.129,2;304.777,1;328.906,3;0,0;120.024,0;0,0
Centro;2;0,0;21.828,0;21.828,0;3.895,1;275,9;0,0
Sud;4;5.165,6;101.949,8;107.115,4;30.490,6;499,8;0,0
Italia;17;29.294,8;428.554,9;457.849,7;34.385,7;120.799,7;0,0
Smaltimento in discarica;;;;;;;
Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t);RS (t);;
Nord;65;387.541,0;1.545.590,0;1.933.131,0;1.519.640,0;;
Centro;34;177.428,0;1.669.664,0;1.847.092,0;754.855,0;;
Sud;50;554.657,0;3.483.914,0;4.038.571,0;947.152,0;;
Italia;149;1.119.626,0;6.699.168,0;7.818.794,0;3.221.647,0;;
Andamento del numero di impianti per tipologia;;;;;;;
Anno;Compostaggio (n.);Tratt. integrato (n.);Dig. anaerobica (n.);TMB (n.);Incenerimento (n.);Coincenerimento (n.);Discarica (n.)
2015;263;26;20;118;41;17;149
