sezione;col1;col2;col3;col4;col5;col6;col7
Nord;177;438.002,0;1.104.083,0;1.542.085,0;224.793,0;242.468,0;2.009.346,0
Centro;43;322.466,0;181.279,0;503.745,0;59.160,0;44.935,0;607.840,0
Sud;73;1.003.014,0;122.620,0;1.125.634,0;181.544,0;38.570,0;1.345.748,0
Italia;293;1.763.482,0;1.407.982,0;3.171.464,0;465.497,0;325.973,0;3.962.934,0
Trattamento integrato aerobico e anaerobico;;;;;;;
Area geografica;Numero impianti;Frazione umida (t);Verde (t);Tot. RU (t);Fanghi (t);Altro (t);Totale (t)
Nord;30;2.284.072,0;328.653,0;2.612.725,0;66.623,0;108.700,0;2.788.048,0
Centro;7;199.236,0;72.939,0;272.175,0;14.889,0;709,0;287.773,0
Sud;6;178.055,0;20.080,0;198.135,0;0,0;88,0;198.223,0
Italia;43;2.661.363,0;421.672,0;3.083.035,0;81.512,0;109.497,0;3.274.044,0
Digestione anaerobica;;;;;;;
Area geografica;Numero impianti;Frazione organica RU (t);Fanghi (t);Altro (t);Totale (t);;
Nord;20;289.701,0;441.230,0;28.993,0;759.924,0;;
Sud;3;48.198,0;9.907,0;63.947,0;122.052,0;;
Italia;23;337.899,0;451.137,0;92.940,0;881.976,0;;
Trattamento meccanico biologico (TMB);;;;;;;
Area geografica;Numero impianti;RU indiff. (t);Rif. da trattamento RU (t);Altri RU (t);Tot. RU e tratt. RU (t);RS(t);
Nord;43;1.479.790,0;398.806,0;109.572,0;1.988.168,0;149.703,0;
Centro;38;2.286.334,0;301.879,0;73.326,0;2.661.539,0;72.301,0;
Sud;54;3.918.167,0;778.525,0;49.375,0;4.746.067,0;9.133,0;
Italia;135;7.684.291,0;1.479.210,0;232.273,0;9.395.774,0;231.137,0;
Incenerimento;;;;;;;
Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t);RS non pericolosi(t);RS pericolosi(t);
Nord;26;2.498.100,0;1.240.979,0;3.739.079,0;830.426,0;33.482,0;
Centro;5;82.999,0;449.400,0;532.399,0;5.079,0;0,0;
Sud;6;79.769,0;973.397,0;1.053.166,0;24.121,0;24.759,0;
Italia;37;2.660.868,0;2.663.776,0;5.324.644,0;859.626,0;58.241,0;
Coincenerimento;;;;;;;
Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t);Da trattmento RS (t);RS non pericolosi(t);RS pericolosi(t)
Nord;9;25.062,0;167.073,0;192.135,0;0,0;219.040,0;13.872,0
Centro;1;0,0;7.024,0;7.024,0;0,0;17.593,0;0,0
Sud;4;0,0;90.329,0;90.329,0;0,0;70.668,0;0,0
Italia;14;25.062,0;264.426,0;289.488,0;0,0;307.301,0;13.872,0
Smaltimento in discarica;;;;;;;
Area geografica;Numero impianti;RU (t);Da trattamento RU (t);Tot. RU e tratt. RU (t);RS (t);;
Nord;54;196.543,0;1.282.317,0;1.478.860,0;1.735.823,0;;
Centro;26;105.590,0;1.645.579,0;1.751.169,0;567.765,0;;
Sud;51;64.422,0;2.522.677,0;2.587.099,0;606.098,0;;
Italia;131;366.555,0;5.450.573,0;5.817.128,0;2.909.686,0;;
Andamento del numero di impianti per tipologia;;;;;;;
Anno;Compostaggio (n.);Tratt. integrato (n.);Dig. anaerobica (n.);TMB (n.);Incenerimento (n.);Coincenerimento (n.);Discarica (n.)
2020;293;43;23;135;37;14;131
2019;281;41;23;132;37;13;131
2018;281;35;23;131;38;11;127
2017;285;31;24;130;39;12;123
2016;274;31;21;130;41;12;134
2015;263;26;20;118;41;17;149
