Quantitativi di rifiuti speciali importati per regione - 2021 (ISPRA);
	Regione;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
LUSSEMBURGO;2021;           1.492,4;               0,0;           1.492,4;
MACEDONIA;2021;           1.363,9;               0,0;           1.363,9;
MALESIA;2021;             610,9;               0,0;             610,9;
MALTA;2021;           2.417,8;             362,6;           2.780,4;
MAROCCO;2021;           4.380,9;               0,0;           4.380,9;
MARTINICA;2021;             579,2;               0,0;             579,2;
MAURIZIUS;2021;              12,5;               0,0;              12,5;
MESSICO;2021;             297,4;               0,0;             297,4;
MONACO;2021;             111,0;               0,0;             111,0;
NICARAGUA;2021;              43,3;               0,0;              43,3;
NIGERIA;2021;             140,3;              24,3;             164,6;
NORVEGIA;2021;             421,6;               0,0;             421,6;
OMAN;2021;              49,3;               0,0;              49,3;
PAESI BASSI;2021;          77.358,8;           5.334,3;          82.693,1;
PAKISTAN;2021;             387,4;               0,0;             387,4;
PANAMA;2021;             190,9;               0,2;             191,0;
PERU;2021;             419,0;               0,0;             419,0;
POLONIA;2021;         100.262,2;             215,0;         100.477,2;
PORTOGALLO;2021;           1.503,0;               3,2;           1.506,2;
REGNO UNITO;2021;          59.001,0;          12.755,1;          71.756,1;
REPUBBLICA CECA;2021;         492.506,7;               0,0;         492.506,7;
REPUBBLICA DEL CONGO;2021;             308,0;               0,0;             308,0;
REPUBBLICA DOMINICANA;2021;              39,4;               0,0;              39,4;
ROMANIA;2021;          56.932,8;              23,7;          56.956,5;
SAINT VINCENT E GRENADINE;2021;               0,0;               0,0;               0,0;
SENEGAL;2021;             391,6;               0,0;             391,6;
SERBIA E MONTENEGRO;2021;          11.135,3;              11,7;          11.147,0;
SIERRA LEONE;2021;               0,0;               0,0;               0,0;
SINGAPORE;2021;           5.180,3;               0,0;           5.180,3;
SLOVACCHIA;2021;         131.665,4;              74,6;         131.740,0;
SLOVENIA;2021;         482.514,8;             125,7;         482.640,6;
SOMALIA;2021;              14,8;               0,0;              14,8;
SPAGNA;2021;          48.669,4;          25.136,7;          73.806,1;
SUD AFRICA;2021;               2,5;               0,0;               2,5;
SUDAN;2021;             240,7;               0,0;             240,7;
SVEZIA;2021;          12.244,3;               0,0;          12.244,3;
SVIZZERA;2021;         989.487,6;          14.153,6;       1.003.641,2;
TAIWAN;2021;             143,5;               0,0;             143,5;
TANZANIA;2021;              57,9;               0,0;              57,9;
THAILANDIA;2021;             212,2;               0,0;             212,2;
TOGO;2021;             524,8;               0,2;             525,0;
TRINIDAD E TOBAGO;2021;               1,5;               0,0;               1,5;
TUNISIA;2021;          11.400,8;               0,0;          11.400,8;
TURCHIA;2021;          31.228,6;               0,1;          31.228,8;
UCRAINA;2021;           1.295,8;               0,0;           1.295,8;
UNGHERIA;2021;         571.624,4;               0,0;         571.624,4;
URUGUAY;2021;             178,5;               0,0;             178,5;
USA;2021;           7.998,0;             372,3;           8.370,3;
VIETNAM;2021;               1,8;               0,0;               1,8;
YEMEN;2021;           1.846,5;               0,0;           1.846,5;
ZAMBIA;2021;               0,0;              23,4;              23,4;
TOTALE;;       7.268.939,5;          98.259,2;       7.367.198,7;
		
Andamento delle importazioni di rifiuti speciali (ISPRA);
	Anno;Quantitativo (t)
2021;       7.367.198,7;
2020;       6.747.816,6;
2019;       7.073.133,0;
2018;       7.304.279,1;

